File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot06-POS-1.txt,5.51E+08,3.29E+03,3.61E-05,6.47E-07,2.10E-08,1.99E-08,2.75E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot07-POS-1.txt,5.51E+08,3.57E+03,4.01E-05,1.04E-06,2.01E-08,1.99E-08,2.63E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot08-POS-1.txt,5.51E+08,3.19E+03,3.94E-05,1.02E-06,2.04E-08,1.99E-08,2.64E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot09-POS-1.txt,5.51E+08,3.54E+03,3.67E-05,1.05E-06,1.99E-08,1.99E-08,2.60E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot10-POS-1.txt,5.51E+08,3.30E+03,2.73E-05,5.08E-07,2.11E-08,1.99E-08,2.75E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot11-POS-1.txt,5.51E+08,3.32E+03,2.65E-05,5.47E-07,2.11E-08,1.99E-08,2.76E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot12-POS-1.txt,5.51E+08,3.97E+03,3.28E-05,5.26E-07,1.95E-08,1.99E-08,2.55E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot13-POS-1.txt,5.50E+08,3.54E+03,3.27E-05,5.11E-07,2.01E-08,1.99E-08,2.59E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot14-POS-1.txt,5.51E+08,3.49E+03,2.84E-05,9.94E-07,2.07E-08,1.99E-08,2.70E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot15-POS-1.txt,5.48E+08,4.15E+03,2.40E-05,1.08E-06,1.97E-08,1.99E-08,2.61E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot16-POS-1.txt,5.51E+08,3.65E+03,3.32E-05,5.15E-07,1.94E-08,1.98E-08,2.49E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot17-POS-1.txt,5.52E+08,3.87E+03,2.74E-05,9.70E-07,2.08E-08,1.98E-08,2.75E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot18-POS-1.txt,5.50E+08,3.69E+03,2.21E-05,1.01E-06,2.10E-08,1.99E-08,2.75E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot19-POS-1.txt,5.51E+08,3.10E+03,2.32E-05,1.01E-06,2.00E-08,1.99E-08,2.56E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot20-POS-1.txt,5.51E+08,3.39E+03,3.14E-05,6.18E-07,2.08E-08,1.99E-08,2.69E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot21-POS-1.txt,5.51E+08,4.73E+03,2.93E-05,6.42E-07,1.88E-08,1.99E-08,2.54E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot22-POS-1.txt,5.49E+08,3.90E+03,3.04E-05,1.11E-06,1.96E-08,1.99E-08,2.61E-08
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot23-POS-1.txt,5.50E+08,4.08E+03,4.12E-05,5.33E-07,1.88E-08,1.99E-08,2.43E-08
