Study Name	Fe_single_crystal
Sample Name	0dpa
Run Name	10degreesSpot03
Operator	Angus Wylie
Date	8/5/2019
Time	13:01
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:02:57
	
Time	Amplitude
0.000000E+0	-1.575928E-4
5.000000E-11	-1.987035E-4
1.000000E-10	-2.398142E-4
1.500000E-10	-2.809249E-4
2.000000E-10	-3.151838E-4
2.500000E-10	-3.357392E-4
3.000000E-10	-3.477299E-4
3.500000E-10	-3.511559E-4
4.000000E-10	-3.511561E-4
4.500000E-10	-3.528691E-4
5.000000E-10	-3.545822E-4
5.500000E-10	-3.494434E-4
6.000000E-10	-3.306011E-4
6.500000E-10	-2.997681E-4
7.000000E-10	-2.655092E-4
7.500000E-10	-2.158338E-4
8.000000E-10	-1.404641E-4
8.500000E-10	-3.426133E-5
9.000000E-10	8.564503E-5
9.500000E-10	1.815701E-4
1.000000E-9	2.500881E-4
1.050000E-9	3.151801E-4
1.100000E-9	3.682816E-4
1.150000E-9	3.922630E-4
1.200000E-9	3.974018E-4
1.250000E-9	3.819854E-4
1.300000E-9	3.477265E-4
1.350000E-9	2.997640E-4
1.400000E-9	2.398109E-4
1.450000E-9	1.798577E-4
1.500000E-9	1.284693E-4
1.550000E-9	7.879379E-5
1.600000E-9	4.796065E-5
1.650000E-9	2.055338E-5
1.700000E-9	-1.884451E-5
1.750000E-9	-6.166827E-5
1.800000E-9	-8.736256E-5
1.850000E-9	-1.113439E-4
1.900000E-9	-1.473158E-4
1.950000E-9	-1.798618E-4
2.000000E-9	-1.918525E-4
2.050000E-9	-1.987043E-4
2.100000E-9	-2.055560E-4
2.150000E-9	-1.901395E-4
2.200000E-9	-1.541676E-4
2.250000E-9	-1.027792E-4
2.300000E-9	-5.824247E-5
2.350000E-9	-1.884461E-5
2.400000E-9	2.911799E-5
2.450000E-9	9.421007E-5
2.500000E-9	1.524503E-4
2.550000E-9	1.884223E-4
2.600000E-9	1.969870E-4
2.650000E-9	1.815705E-4
2.700000E-9	1.370338E-4
2.750000E-9	5.652518E-5
2.800000E-9	-3.254819E-5
2.850000E-9	-1.216216E-4
2.900000E-9	-1.935655E-4
2.950000E-9	-2.535187E-4
3.000000E-9	-3.031942E-4
3.050000E-9	-3.271755E-4
3.100000E-9	-3.117589E-4
3.150000E-9	-2.466668E-4
3.200000E-9	-1.678710E-4
3.250000E-9	-9.421410E-5
3.300000E-9	-1.770786E-9
3.350000E-9	1.233307E-4
3.400000E-9	2.363854E-4
3.450000E-9	3.186070E-4
3.500000E-9	3.905509E-4
3.550000E-9	4.368005E-4
3.600000E-9	4.607817E-4
3.650000E-9	4.556426E-4
3.700000E-9	4.111058E-4
3.750000E-9	3.340231E-4
3.800000E-9	2.415237E-4
3.850000E-9	1.610150E-4
3.900000E-9	9.249694E-5
3.950000E-9	2.226599E-5
4.000000E-9	-2.398367E-5
4.050000E-9	-3.940025E-5
4.100000E-9	-4.796504E-5
4.150000E-9	-3.940031E-5
4.200000E-9	5.136359E-6
4.250000E-9	6.508955E-5
4.300000E-9	1.353204E-4
4.350000E-9	2.209679E-4
4.400000E-9	3.049023E-4
4.450000E-9	3.648555E-4
4.500000E-9	4.093922E-4
4.550000E-9	4.624935E-4
4.600000E-9	4.881877E-4
4.650000E-9	4.642064E-4
4.700000E-9	4.145310E-4
4.750000E-9	3.494389E-4
4.800000E-9	2.757822E-4
4.850000E-9	1.969866E-4
4.900000E-9	1.267557E-4
4.950000E-9	5.823777E-5
5.000000E-9	-3.428341E-6
5.050000E-9	-4.111316E-5
5.100000E-9	-6.509437E-5
5.150000E-9	-8.564967E-5
5.200000E-9	-7.879783E-5
5.250000E-9	-4.111293E-5
5.300000E-9	-2.100933E-9
5.350000E-9	3.768280E-5
5.400000E-9	8.564533E-5
5.450000E-9	1.473115E-4
5.500000E-9	2.004128E-4
5.550000E-9	2.175423E-4
5.600000E-9	2.038387E-4
5.650000E-9	1.798575E-4
5.700000E-9	1.336079E-4
5.750000E-9	5.995108E-5
5.800000E-9	-1.884452E-5
5.850000E-9	-9.250128E-5
5.900000E-9	-1.695839E-4
5.950000E-9	-2.329629E-4
6.000000E-9	-2.518054E-4
6.050000E-9	-2.329630E-4
6.100000E-9	-1.850004E-4
6.150000E-9	-1.010660E-4
6.200000E-9	-1.715041E-6
6.250000E-9	1.027748E-4
