Study Name	Fe_single_crystal
Sample Name	2019-08-23
Run Name	2ndIrr10degSpot07
Operator	Angus Wylie
Date	8/23/2019
Time	16:00
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	16:02:18
	
Time	Amplitude
0.000000E+0	1.935634E-4
5.000000E-11	1.695821E-4
1.000000E-10	1.250454E-4
1.500000E-10	6.509210E-5
2.000000E-10	3.425900E-6
2.500000E-10	-5.824030E-5
3.000000E-10	-1.233324E-4
3.500000E-10	-1.918504E-4
4.000000E-10	-2.603684E-4
4.500000E-10	-3.203217E-4
5.000000E-10	-3.494418E-4
5.500000E-10	-3.682843E-4
6.000000E-10	-3.699972E-4
6.500000E-10	-3.425900E-4
7.000000E-10	-3.100440E-4
7.500000E-10	-2.963404E-4
8.000000E-10	-2.757850E-4
8.500000E-10	-2.415260E-4
9.000000E-10	-2.312483E-4
9.500000E-10	-2.535166E-4
1.000000E-9	-2.637943E-4
1.050000E-9	-2.483778E-4
1.100000E-9	-2.398130E-4
1.150000E-9	-2.569425E-4
1.200000E-9	-2.672202E-4
1.250000E-9	-2.552296E-4
1.300000E-9	-2.363871E-4
1.350000E-9	-2.106929E-4
1.400000E-9	-1.832857E-4
1.450000E-9	-1.695821E-4
1.500000E-9	-1.627303E-4
1.550000E-9	-1.490267E-4
1.600000E-9	-1.541655E-4
1.650000E-9	-1.935634E-4
1.700000E-9	-2.363871E-4
1.750000E-9	-2.672202E-4
1.800000E-9	-3.083310E-4
1.850000E-9	-3.511548E-4
1.900000E-9	-3.717102E-4
1.950000E-9	-3.699972E-4
2.000000E-9	-3.528677E-4
2.050000E-9	-3.254605E-4
2.100000E-9	-3.066181E-4
2.150000E-9	-2.946274E-4
2.200000E-9	-2.723591E-4
2.250000E-9	-2.449519E-4
2.300000E-9	-2.381001E-4
2.350000E-9	-2.432389E-4
2.400000E-9	-2.552296E-4
2.450000E-9	-2.809238E-4
2.500000E-9	-3.186087E-4
2.550000E-9	-3.545807E-4
2.600000E-9	-3.888397E-4
2.650000E-9	-4.282375E-4
2.700000E-9	-4.676354E-4
2.750000E-9	-5.036073E-4
2.800000E-9	-5.138850E-4
2.850000E-9	-4.967555E-4
2.900000E-9	-4.727742E-4
2.950000E-9	-4.419411E-4
3.000000E-9	-3.905526E-4
3.050000E-9	-3.203217E-4
3.100000E-9	-2.398130E-4
3.150000E-9	-1.678691E-4
3.200000E-9	-1.181936E-4
3.250000E-9	-8.736045E-5
3.300000E-9	-7.536980E-5
3.350000E-9	-9.592520E-5
3.400000E-9	-1.558785E-4
3.450000E-9	-2.432389E-4
3.500000E-9	-3.545807E-4
3.550000E-9	-4.813390E-4
3.600000E-9	-6.166620E-4
3.650000E-9	-7.399944E-4
3.700000E-9	-8.307808E-4
3.750000E-9	-9.061506E-4
3.800000E-9	-9.678168E-4
3.850000E-9	-9.815204E-4
3.900000E-9	-9.558261E-4
3.950000E-9	-9.249930E-4
4.000000E-9	-8.684657E-4
4.050000E-9	-7.742534E-4
4.100000E-9	-6.817541E-4
4.150000E-9	-6.132361E-4
4.200000E-9	-5.567088E-4
4.250000E-9	-5.070332E-4
4.300000E-9	-4.693483E-4
4.350000E-9	-4.385152E-4
4.400000E-9	-4.282375E-4
4.450000E-9	-4.248116E-4
4.500000E-9	-4.025433E-4
4.550000E-9	-3.802749E-4
4.600000E-9	-3.734231E-4
4.650000E-9	-3.631454E-4
4.700000E-9	-3.408771E-4
4.750000E-9	-3.186087E-4
4.800000E-9	-3.014792E-4
4.850000E-9	-2.826368E-4
4.900000E-9	-2.689332E-4
4.950000E-9	-2.757850E-4
5.000000E-9	-3.014792E-4
5.050000E-9	-3.391641E-4
5.100000E-9	-3.802749E-4
5.150000E-9	-4.213857E-4
5.200000E-9	-4.522188E-4
5.250000E-9	-4.727742E-4
5.300000E-9	-4.779131E-4
5.350000E-9	-4.590706E-4
5.400000E-9	-4.248116E-4
5.450000E-9	-3.665713E-4
5.500000E-9	-2.894886E-4
5.550000E-9	-2.038411E-4
5.600000E-9	-1.147677E-4
5.650000E-9	-2.226835E-5
5.700000E-9	4.282375E-5
5.750000E-9	6.680505E-5
5.800000E-9	5.481440E-5
5.850000E-9	6.851800E-6
5.900000E-9	-6.851800E-5
5.950000E-9	-1.524526E-4
6.000000E-9	-2.278224E-4
6.050000E-9	-3.049051E-4
6.100000E-9	-3.768490E-4
6.150000E-9	-4.196728E-4
6.200000E-9	-4.368023E-4
6.250000E-9	-4.368023E-4
6.300000E-9	-4.128210E-4
6.350000E-9	-3.819879E-4
6.400000E-9	-3.528677E-4
6.450000E-9	-3.100440E-4
6.500000E-9	-2.706461E-4
6.550000E-9	-2.689332E-4
6.600000E-9	-2.877756E-4
6.650000E-9	-3.168958E-4
6.700000E-9	-3.665713E-4
6.750000E-9	-4.128210E-4
6.800000E-9	-4.402282E-4
6.850000E-9	-4.607836E-4
6.900000E-9	-4.744872E-4
6.950000E-9	-4.642095E-4
7.000000E-9	-4.368023E-4
7.050000E-9	-3.819879E-4
7.100000E-9	-3.168958E-4
7.150000E-9	-2.603684E-4
7.200000E-9	-2.089799E-4
7.250000E-9	-1.524526E-4
7.300000E-9	-8.564750E-5
7.350000E-9	-3.254605E-5
7.400000E-9	-5.138850E-6
7.450000E-9	1.199065E-5
7.500000E-9	2.226835E-5
7.550000E-9	6.851800E-6
7.600000E-9	-3.768490E-5
7.650000E-9	-8.222160E-5
7.700000E-9	-1.113418E-4
7.750000E-9	-1.490267E-4
7.800000E-9	-1.901375E-4
7.850000E-9	-2.089799E-4
7.900000E-9	-1.935634E-4
7.950000E-9	-1.233324E-4
8.000000E-9	5.824030E-5
8.050000E-9	3.665713E-4
8.100000E-9	8.273549E-4
8.150000E-9	1.502257E-3
8.200000E-9	2.442667E-3
8.250000E-9	3.672565E-3
8.300000E-9	5.234775E-3
8.350000E-9	7.154992E-3
8.400000E-9	9.414373E-3
8.450000E-9	1.200093E-2
8.500000E-9	1.487526E-2
8.550000E-9	1.794144E-2
8.600000E-9	2.111382E-2
8.650000E-9	2.431019E-2
8.700000E-9	2.741405E-2
8.750000E-9	3.030380E-2
8.800000E-9	3.290577E-2
8.850000E-9	3.515830E-2
8.900000E-9	3.700657E-2
8.950000E-9	3.843003E-2
9.000000E-9	3.946294E-2
9.050000E-9	4.016525E-2
9.100000E-9	4.060206E-2
9.150000E-9	4.085215E-2
9.200000E-9	4.100289E-2
9.250000E-9	4.112964E-2
9.300000E-9	4.129409E-2
9.350000E-9	4.152876E-2
9.400000E-9	4.185422E-2
9.450000E-9	4.225505E-2
9.500000E-9	4.270898E-2
9.550000E-9	4.318176E-2
9.600000E-9	4.362370E-2
9.650000E-9	4.398513E-2
9.700000E-9	4.422494E-2
9.750000E-9	4.430545E-2
9.800000E-9	4.419240E-2
9.850000E-9	4.387208E-2
9.900000E-9	4.333421E-2
9.950000E-9	4.258565E-2
1.000000E-8	4.165723E-2
1.005000E-8	4.058150E-2
1.010000E-8	3.937558E-2
1.015000E-8	3.806175E-2
1.020000E-8	3.666912E-2
1.025000E-8	3.523881E-2
1.030000E-8	3.381192E-2
1.035000E-8	3.240216E-2
1.040000E-8	3.103865E-2
1.045000E-8	2.977278E-2
1.050000E-8	2.862168E-2
1.055000E-8	2.759391E-2
1.060000E-8	2.673230E-2
1.065000E-8	2.606254E-2
1.070000E-8	2.556407E-2
1.075000E-8	2.522319E-2
1.080000E-8	2.505875E-2
1.085000E-8	2.507416E-2
1.090000E-8	2.524888E-2
1.095000E-8	2.556921E-2
1.100000E-8	2.604027E-2
1.105000E-8	2.664836E-2
1.110000E-8	2.735239E-2
1.115000E-8	2.811636E-2
1.120000E-8	2.893173E-2
1.125000E-8	2.978478E-2
1.130000E-8	3.064639E-2
1.135000E-8	3.148231E-2
1.140000E-8	3.227027E-2
1.145000E-8	3.299827E-2
1.150000E-8	3.364234E-2
1.155000E-8	3.419048E-2
1.160000E-8	3.465298E-2
1.165000E-8	3.501270E-2
1.170000E-8	3.526108E-2
1.175000E-8	3.541696E-2
1.180000E-8	3.550774E-2
1.185000E-8	3.553172E-2
1.190000E-8	3.547862E-2
1.195000E-8	3.534501E-2
1.200000E-8	3.515487E-2
1.205000E-8	3.490821E-2
1.210000E-8	3.457418E-2
1.215000E-8	3.416479E-2
