Study Name	Fe_single_crystal
Sample Name	0dpa
Run Name	10degreesSpot05
Operator	Angus Wylie
Date	8/5/2019
Time	13:05
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:07:26
	
Time	Amplitude
0.000000E+0	-5.635624E-4
5.000000E-11	-5.241646E-4
1.000000E-10	-5.087480E-4
1.500000E-10	-4.864796E-4
2.000000E-10	-4.333782E-4
2.500000E-10	-4.111099E-4
3.000000E-10	-4.145357E-4
3.500000E-10	-3.939803E-4
4.000000E-10	-3.785637E-4
4.500000E-10	-3.974061E-4
5.000000E-10	-3.939801E-4
5.500000E-10	-3.682859E-4
6.000000E-10	-3.819894E-4
6.500000E-10	-3.922670E-4
7.000000E-10	-3.888411E-4
7.500000E-10	-4.350907E-4
8.000000E-10	-4.967568E-4
8.500000E-10	-5.173123E-4
9.000000E-10	-5.618490E-4
9.500000E-10	-6.577741E-4
1.000000E-9	-7.382827E-4
1.050000E-9	-7.930972E-4
1.100000E-9	-8.616152E-4
1.150000E-9	-9.369849E-4
1.200000E-9	-9.969382E-4
1.250000E-9	-1.055178E-3
1.300000E-9	-1.094576E-3
1.350000E-9	-1.082586E-3
1.400000E-9	-1.044901E-3
1.450000E-9	-1.012355E-3
1.500000E-9	-9.763827E-4
1.550000E-9	-9.386979E-4
1.600000E-9	-8.941612E-4
1.650000E-9	-8.359210E-4
1.700000E-9	-7.742550E-4
1.750000E-9	-7.228666E-4
1.800000E-9	-6.697653E-4
1.850000E-9	-6.218027E-4
1.900000E-9	-5.772661E-4
1.950000E-9	-5.258777E-4
2.000000E-9	-4.710634E-4
2.050000E-9	-4.350914E-4
2.100000E-9	-4.248136E-4
2.150000E-9	-4.368042E-4
2.200000E-9	-4.385171E-4
2.250000E-9	-4.248135E-4
2.300000E-9	-4.213875E-4
2.350000E-9	-4.368040E-4
2.400000E-9	-4.607853E-4
