Study Name	Fe_single_crystal
Sample Name	0dpa
Run Name	10degreesSpot01
Operator	Angus Wylie
Date	8/5/2019
Time	12:56
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:58:17
	
Time	Amplitude
0.000000E+0	1.010614E-4
5.000000E-11	3.596949E-5
1.000000E-10	-1.713181E-5
1.500000E-10	-5.652956E-5
2.000000E-10	-9.250143E-5
2.500000E-10	-1.438898E-4
3.000000E-10	-1.952783E-4
3.500000E-10	-2.055560E-4
4.000000E-10	-2.004173E-4
4.500000E-10	-2.192598E-4
5.000000E-10	-2.278246E-4
5.500000E-10	-2.141211E-4
6.000000E-10	-2.106952E-4
6.500000E-10	-2.106952E-4
7.000000E-10	-1.901399E-4
7.500000E-10	-1.695845E-4
8.000000E-10	-1.541679E-4
8.500000E-10	-1.096312E-4
9.000000E-10	-5.652984E-5
9.500000E-10	1.710379E-6
1.000000E-9	7.022825E-5
1.050000E-9	1.318943E-4
1.100000E-9	1.832827E-4
1.150000E-9	2.346710E-4
1.200000E-9	2.706428E-4
1.250000E-9	2.774946E-4
1.300000E-9	2.518004E-4
1.350000E-9	2.072637E-4
1.400000E-9	1.387458E-4
1.450000E-9	5.138549E-5
1.500000E-9	-3.597480E-5
1.550000E-9	-1.079186E-4
1.600000E-9	-1.798623E-4
1.650000E-9	-2.552319E-4
1.700000E-9	-3.168980E-4
1.750000E-9	-3.494440E-4
1.800000E-9	-3.734252E-4
1.850000E-9	-3.854158E-4
1.900000E-9	-3.768511E-4
1.950000E-9	-3.665734E-4
2.000000E-9	-3.528698E-4
2.050000E-9	-3.357404E-4
2.100000E-9	-3.049073E-4
2.150000E-9	-2.860649E-4
2.200000E-9	-2.672224E-4
2.250000E-9	-2.483800E-4
2.300000E-9	-2.243987E-4
2.350000E-9	-1.935657E-4
2.400000E-9	-1.507419E-4
2.450000E-9	-1.010664E-4
2.500000E-9	-3.768737E-5
2.550000E-9	4.110821E-5
2.600000E-9	1.181909E-4
2.650000E-9	1.695793E-4
2.700000E-9	2.021254E-4
2.750000E-9	2.586527E-4
2.800000E-9	3.083282E-4
2.850000E-9	3.049023E-4
2.900000E-9	2.792081E-4
2.950000E-9	2.637916E-4
3.000000E-9	2.398103E-4
3.050000E-9	1.901348E-4
3.100000E-9	1.181910E-4
3.150000E-9	4.967301E-5
3.200000E-9	-1.199316E-5
3.250000E-9	-6.166869E-5
3.300000E-9	-8.222409E-5
3.350000E-9	-8.564999E-5
3.400000E-9	-6.338167E-5
3.450000E-9	-8.567371E-6
3.500000E-9	5.995050E-5
3.550000E-9	1.044871E-4
3.600000E-9	1.353202E-4
3.650000E-9	1.849957E-4
3.700000E-9	2.518007E-4
3.750000E-9	3.100409E-4
3.800000E-9	3.580034E-4
3.850000E-9	4.111048E-4
3.900000E-9	4.659192E-4
3.950000E-9	5.258723E-4
4.000000E-9	5.892514E-4
4.050000E-9	6.098067E-4
4.100000E-9	5.892514E-4
4.150000E-9	5.721219E-4
4.200000E-9	5.412889E-4
4.250000E-9	4.607803E-4
4.300000E-9	3.528646E-4
4.350000E-9	2.552266E-4
4.400000E-9	1.507368E-4
4.450000E-9	3.425640E-5
4.500000E-9	-5.824274E-5
4.550000E-9	-1.062053E-4
4.600000E-9	-1.130571E-4
4.650000E-9	-8.393702E-5
4.700000E-9	-1.713215E-5
4.750000E-9	5.823746E-5
4.800000E-9	1.353201E-4
4.850000E-9	2.329580E-4
4.900000E-9	3.186053E-4
4.950000E-9	3.425865E-4
5.000000E-9	3.288830E-4
5.050000E-9	3.186052E-4
5.100000E-9	2.911981E-4
5.150000E-9	2.192544E-4
5.200000E-9	1.353200E-4
5.250000E-9	6.337626E-5
5.300000E-9	1.027498E-5
5.350000E-9	-2.398389E-5
5.400000E-9	-2.569680E-5
5.450000E-9	-1.370614E-5
5.500000E-9	6.849229E-6
5.550000E-9	5.652464E-5
5.600000E-9	1.130518E-4
5.650000E-9	1.507366E-4
5.700000E-9	1.695788E-4
5.750000E-9	1.798564E-4
5.800000E-9	1.678656E-4
5.850000E-9	1.181900E-4
5.900000E-9	3.596844E-5
5.950000E-9	-7.194731E-5
6.000000E-9	-1.850018E-4
6.050000E-9	-2.929175E-4
6.100000E-9	-4.025461E-4
6.150000E-9	-5.001840E-4
6.200000E-9	-5.721277E-4
6.250000E-9	-6.166643E-4
6.300000E-9	-6.355066E-4
6.350000E-9	-6.166641E-4
6.400000E-9	-5.772663E-4
6.450000E-9	-5.275908E-4
6.500000E-9	-4.402304E-4
6.550000E-9	-3.203241E-4
6.600000E-9	-2.141213E-4
6.650000E-9	-1.233350E-4
6.700000E-9	-1.370627E-5
6.750000E-9	7.022824E-5
6.800000E-9	1.062003E-4
6.850000E-9	1.593018E-4
6.900000E-9	2.466622E-4
6.950000E-9	3.220320E-4
7.000000E-9	4.213830E-4
7.050000E-9	6.183720E-4
7.100000E-9	9.352673E-4
7.150000E-9	1.418319E-3
7.200000E-9	2.194284E-3
7.250000E-9	3.355662E-3
7.300000E-9	4.972684E-3
7.350000E-9	7.156693E-3
7.400000E-9	1.000019E-2
7.450000E-9	1.353571E-2
7.500000E-9	1.776498E-2
7.550000E-9	2.265202E-2
7.600000E-9	2.807178E-2
7.650000E-9	3.385812E-2
7.700000E-9	3.981061E-2
7.750000E-9	4.571171E-2
7.800000E-9	5.134046E-2
7.850000E-9	5.649643E-2
7.900000E-9	6.100491E-2
7.950000E-9	6.476483E-2
8.000000E-9	6.776077E-2
8.050000E-9	7.000645E-2
8.100000E-9	7.156523E-2
8.150000E-9	7.256559E-2
8.200000E-9	7.318054E-2
8.250000E-9	7.353683E-2
8.300000E-9	7.376808E-2
8.350000E-9	7.403187E-2
8.400000E-9	7.442927E-2
8.450000E-9	7.497399E-2
8.500000E-9	7.567459E-2
8.550000E-9	7.649509E-2
8.600000E-9	7.735670E-2
8.650000E-9	7.820118E-2
8.700000E-9	7.896344E-2
8.750000E-9	7.954756E-2
8.800000E-9	7.987644E-2
8.850000E-9	7.989529E-2
8.900000E-9	7.954927E-2
8.950000E-9	7.882983E-2
9.000000E-9	7.775068E-2
9.050000E-9	7.632550E-2
9.100000E-9	7.461770E-2
9.150000E-9	7.266322E-2
9.200000E-9	7.046209E-2
9.250000E-9	6.807081E-2
9.300000E-9	6.558533E-2
9.350000E-9	6.306215E-2
9.400000E-9	6.054241E-2
9.450000E-9	5.809975E-2
9.500000E-9	5.578042E-2
9.550000E-9	5.360669E-2
9.600000E-9	5.164194E-2
9.650000E-9	4.991528E-2
9.700000E-9	4.845071E-2
9.750000E-9	4.729790E-2
9.800000E-9	4.647397E-2
9.850000E-9	4.597037E-2
9.900000E-9	4.581278E-2
9.950000E-9	4.599949E-2
1.000000E-8	4.648768E-2
1.005000E-8	4.727735E-2
1.010000E-8	4.833081E-2
1.015000E-8	4.958640E-2
1.020000E-8	5.100301E-2
1.025000E-8	5.256521E-2
1.030000E-8	5.421307E-2
1.035000E-8	5.586778E-2
1.040000E-8	5.749850E-2
1.045000E-8	5.907955E-2
1.050000E-8	6.055782E-2
1.055000E-8	6.190934E-2
1.060000E-8	6.314095E-2
1.065000E-8	6.422867E-2
1.070000E-8	6.514338E-2
1.075000E-8	6.591078E-2
1.080000E-8	6.654286E-2
1.085000E-8	6.703619E-2
1.090000E-8	6.737193E-2
1.095000E-8	6.753808E-2
1.100000E-8	6.752952E-2
1.105000E-8	6.735137E-2
1.110000E-8	6.699508E-2
1.115000E-8	6.643495E-2
1.120000E-8	6.565042E-2
1.125000E-8	6.464149E-2
1.130000E-8	6.342530E-2
1.135000E-8	6.204638E-2
1.140000E-8	6.050301E-2
1.145000E-8	5.880377E-2
1.150000E-8	5.701202E-2
1.155000E-8	5.516375E-2
1.160000E-8	5.326581E-2
1.165000E-8	5.135073E-2
1.170000E-8	4.949218E-2
1.175000E-8	4.770901E-2
1.180000E-8	4.601148E-2
1.185000E-8	4.445269E-2
1.190000E-8	4.308747E-2
1.195000E-8	4.191924E-2
1.200000E-8	4.096171E-2
1.205000E-8	4.025426E-2
1.210000E-8	3.981575E-2
1.215000E-8	3.963931E-2
1.220000E-8	3.973181E-2
1.225000E-8	4.009667E-2
1.230000E-8	4.071333E-2
1.235000E-8	4.160749E-2
