grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.7663 5.5052802e+08 4029.8022 0.023454982 0.0011243725 2.2512657e-05 3.8403324e-07 1.1851364e-05 2.0344007e-06 0.0084183542 7.8991755e-05 1.3048492 0.0061674156 2.3841966e-08 2.7207433e-10 -0.00018304705 1.3522597e-05
0.91 5.83037 5.50528e+08 4029.805 0.023454851 0.001124359 2.301567e-05 3.9260638e-07 1.1851134e-05 2.034405e-06 0.008418352 7.8991761e-05 1.3048508 0.0061674189 2.3841969e-08 2.7207446e-10 -0.00018304827 1.3522713e-05
0.92 5.89444 5.5052799e+08 4029.8072 0.023454724 0.0011243459 2.3524242e-05 4.0127423e-07 1.185091e-05 2.0344091e-06 0.0084183502 7.8991765e-05 1.304852 0.0061674205 2.3841971e-08 2.7207457e-10 -0.00018304947 1.3522824e-05
0.93 5.95851 5.5052799e+08 4029.8089 0.023454601 0.0011243331 2.4038372e-05 4.100368e-07 1.1850693e-05 2.0344131e-06 0.0084183487 7.8991766e-05 1.3048529 0.0061674223 2.3841973e-08 2.7207466e-10 -0.00018305062 1.3522932e-05
0.94 6.02258 5.5052798e+08 4029.81 0.022155135 0.0014581847 2.438073e-05 4.737495e-07 6.3666549e-06 3.322169e-06 0.0090965539 9.0243656e-05 -1.8091245 0.0062457228 2.3238307e-08 2.5972479e-10 -0.00018276336 1.3857907e-05
0.95 6.08665 5.5052797e+08 4029.8131 0.022152737 0.0014581046 2.490144e-05 4.8387659e-07 6.3612429e-06 3.3227382e-06 0.0090965657 9.0243625e-05 -1.8091225 0.0062457133 2.3238287e-08 2.597241e-10 -0.00018277883 1.3858387e-05
0.96 6.15072 5.5052795e+08 4029.8163 0.022150393 0.0014580265 2.5427654e-05 4.9411089e-07 6.355952e-06 3.323295e-06 0.0090965773 9.0243597e-05 -1.8091204 0.0062457044 2.3238267e-08 2.5972344e-10 -0.00018279395 1.3858857e-05
0.97 6.21479 5.5052794e+08 4029.8185 0.022148111 0.0014579503 2.5959374e-05 5.0445232e-07 6.3507982e-06 3.3238372e-06 0.0090965889 9.0243563e-05 -1.8091189 0.0062456935 2.3238248e-08 2.5972275e-10 -0.00018280867 1.3859312e-05
0.98 6.27886 5.5052794e+08 4029.8197 0.022145891 0.0014578761 2.6496601e-05 5.1490088e-07 6.3457842e-06 3.3243645e-06 0.0090966004 9.0243523e-05 -1.8091181 0.0062456838 2.3238229e-08 2.5972207e-10 -0.000182823 1.3859754e-05
0.99 6.34293 5.5052793e+08 4029.8201 0.022143733 0.0014578039 2.7039336e-05 5.2545658e-07 6.3409083e-06 3.3248771e-06 0.0090966119 9.0243479e-05 -1.8091177 0.0062456722 2.323821e-08 2.5972137e-10 -0.00018283693 1.3860183e-05
