Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	baseline
Operator	Angus
Date	1/4/2022
Time	12:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:30:57
	
Time	Amplitude
0.000000E+0	-1.017494E-3
5.000000E-11	-9.455499E-4
1.000000E-10	-8.342082E-4
1.500000E-10	-7.143017E-4
2.000000E-10	-6.303671E-4
2.500000E-10	-5.687009E-4
3.000000E-10	-5.121735E-4
3.500000E-10	-4.762016E-4
4.000000E-10	-5.018958E-4
4.500000E-10	-5.498585E-4
5.000000E-10	-6.063858E-4
5.500000E-10	-6.440707E-4
6.000000E-10	-6.988851E-4
6.500000E-10	-7.639772E-4
7.000000E-10	-7.862456E-4
7.500000E-10	-8.085139E-4
8.000000E-10	-8.187916E-4
8.500000E-10	-8.205046E-4
9.000000E-10	-8.050880E-4
9.500000E-10	-7.965233E-4
1.000000E-9	-7.759679E-4
1.050000E-9	-7.708290E-4
1.100000E-9	-7.365700E-4
1.150000E-9	-7.177276E-4
1.200000E-9	-7.280053E-4
1.250000E-9	-7.280053E-4
1.300000E-9	-7.382830E-4
1.350000E-9	-7.297182E-4
1.400000E-9	-7.519866E-4
1.450000E-9	-7.211535E-4
1.500000E-9	-7.280053E-4
1.550000E-9	-6.920333E-4
1.600000E-9	-6.937463E-4
1.650000E-9	-6.560614E-4
1.700000E-9	-6.337930E-4
1.750000E-9	-6.149506E-4
1.800000E-9	-5.892563E-4
1.850000E-9	-5.978211E-4
1.900000E-9	-5.806916E-4
1.950000E-9	-6.063858E-4
2.000000E-9	-5.926822E-4
2.050000E-9	-6.200894E-4
2.100000E-9	-6.560614E-4
2.150000E-9	-7.040240E-4
2.200000E-9	-7.691161E-4
2.250000E-9	-8.119398E-4
2.300000E-9	-8.085139E-4
2.350000E-9	-7.982362E-4
2.400000E-9	-7.365700E-4
2.450000E-9	-6.560614E-4
2.500000E-9	-5.481455E-4
2.550000E-9	-4.128224E-4
2.600000E-9	-2.637958E-4
2.650000E-9	-1.353245E-4
2.700000E-9	-1.027918E-5
2.750000E-9	6.680357E-5
2.800000E-9	8.393307E-5
2.850000E-9	8.050717E-5
2.900000E-9	4.796112E-5
2.950000E-9	-3.254753E-5
3.000000E-9	-1.438893E-4
3.050000E-9	-2.963418E-4
3.100000E-9	-4.196742E-4
3.150000E-9	-5.070347E-4
3.200000E-9	-5.926822E-4
3.250000E-9	-6.183765E-4
3.300000E-9	-6.303671E-4
3.350000E-9	-5.926822E-4
3.400000E-9	-5.532844E-4
3.450000E-9	-4.899052E-4
3.500000E-9	-4.179613E-4
3.550000E-9	-3.511562E-4
3.600000E-9	-3.134713E-4
3.650000E-9	-2.706476E-4
3.700000E-9	-2.706476E-4
3.750000E-9	-2.809253E-4
3.800000E-9	-3.168972E-4
3.850000E-9	-3.888411E-4
3.900000E-9	-4.162483E-4
3.950000E-9	-4.779145E-4
4.000000E-9	-5.464326E-4
4.050000E-9	-6.183765E-4
4.100000E-9	-6.389319E-4
4.150000E-9	-6.868945E-4
4.200000E-9	-7.211535E-4
4.250000E-9	-7.280053E-4
4.300000E-9	-7.297182E-4
4.350000E-9	-7.485607E-4
4.400000E-9	-7.965233E-4
4.450000E-9	-8.187916E-4
4.500000E-9	-8.290693E-4
4.550000E-9	-8.581895E-4
4.600000E-9	-8.410600E-4
4.650000E-9	-8.153657E-4
4.700000E-9	-7.862456E-4
4.750000E-9	-7.656902E-4
4.800000E-9	-6.954592E-4
4.850000E-9	-6.423578E-4
4.900000E-9	-6.080988E-4
4.950000E-9	-5.961081E-4
5.000000E-9	-5.824045E-4
5.050000E-9	-5.943952E-4
5.100000E-9	-6.098117E-4
5.150000E-9	-6.149506E-4
5.200000E-9	-6.577743E-4
5.250000E-9	-7.023110E-4
5.300000E-9	-7.605513E-4
5.350000E-9	-7.913844E-4
5.400000E-9	-8.324952E-4
5.450000E-9	-8.736060E-4
5.500000E-9	-9.010132E-4
5.550000E-9	-9.506888E-4
5.600000E-9	-9.832348E-4
5.650000E-9	-9.866607E-4
5.700000E-9	-1.014068E-3
5.750000E-9	-1.007216E-3
5.800000E-9	-9.832348E-4
5.850000E-9	-9.524017E-4
5.900000E-9	-9.215686E-4
5.950000E-9	-8.667542E-4
6.000000E-9	-7.965233E-4
6.050000E-9	-7.382830E-4
6.100000E-9	-6.389319E-4
6.150000E-9	-5.824045E-4
6.200000E-9	-5.070347E-4
6.250000E-9	-4.470814E-4
6.300000E-9	-3.956929E-4
6.350000E-9	-3.888411E-4
6.400000E-9	-4.025447E-4
6.450000E-9	-4.624980E-4
6.500000E-9	-5.430067E-4
6.550000E-9	-6.680520E-4
6.600000E-9	-8.239305E-4
6.650000E-9	-9.746701E-4
6.700000E-9	-1.087725E-3
6.750000E-9	-1.169946E-3
6.800000E-9	-1.257307E-3
6.850000E-9	-1.279575E-3
6.900000E-9	-1.277862E-3
6.950000E-9	-1.272723E-3
7.000000E-9	-1.216196E-3
7.050000E-9	-1.140826E-3
7.100000E-9	-1.058605E-3
7.150000E-9	-9.900866E-4
7.200000E-9	-8.975873E-4
7.250000E-9	-8.530506E-4
7.300000E-9	-7.862456E-4
7.350000E-9	-7.280053E-4
7.400000E-9	-7.228664E-4
7.450000E-9	-7.143017E-4
7.500000E-9	-7.211535E-4
7.550000E-9	-7.280053E-4
7.600000E-9	-7.725420E-4
7.650000E-9	-8.444859E-4
7.700000E-9	-9.318463E-4
7.750000E-9	-1.050040E-3
7.800000E-9	-1.147678E-3
7.850000E-9	-1.226474E-3
7.900000E-9	-1.310408E-3
7.950000E-9	-1.368649E-3
8.000000E-9	-1.413185E-3
8.050000E-9	-1.404621E-3
8.100000E-9	-1.387491E-3
8.150000E-9	-1.317260E-3
8.200000E-9	-1.255594E-3
8.250000E-9	-1.168233E-3
8.300000E-9	-1.098002E-3
8.350000E-9	-1.010642E-3
8.400000E-9	-9.472629E-4
8.450000E-9	-8.701801E-4
8.500000E-9	-8.136528E-4
8.550000E-9	-7.811067E-4
8.600000E-9	-7.536995E-4
8.650000E-9	-7.605513E-4
8.700000E-9	-7.793938E-4
8.750000E-9	-8.153657E-4
8.800000E-9	-8.736060E-4
8.850000E-9	-9.558276E-4
8.900000E-9	-9.815219E-4
8.950000E-9	-1.008929E-3
9.000000E-9	-1.007216E-3
9.050000E-9	-1.027772E-3
9.100000E-9	-1.007216E-3
9.150000E-9	-9.729571E-4
9.200000E-9	-9.489758E-4
9.250000E-9	-8.907355E-4
9.300000E-9	-8.307823E-4
9.350000E-9	-7.348571E-4
9.400000E-9	-6.731909E-4
9.450000E-9	-6.029599E-4
9.500000E-9	-5.669880E-4
9.550000E-9	-5.190253E-4
9.600000E-9	-5.241642E-4
9.650000E-9	-5.190253E-4
9.700000E-9	-5.806916E-4
9.750000E-9	-6.800427E-4
9.800000E-9	-7.759679E-4
9.850000E-9	-9.112909E-4
9.900000E-9	-1.022633E-3
9.950000E-9	-1.135687E-3
1.000000E-8	-1.255594E-3
1.005000E-8	-1.324112E-3
1.010000E-8	-1.329251E-3
1.015000E-8	-1.346380E-3
1.020000E-8	-1.353232E-3
1.025000E-8	-1.346380E-3
1.030000E-8	-1.265872E-3
1.035000E-8	-1.169946E-3
1.040000E-8	-1.048327E-3
1.045000E-8	-9.404111E-4
1.050000E-8	-8.273564E-4
1.055000E-8	-7.485607E-4
1.060000E-8	-6.800427E-4
1.065000E-8	-6.543484E-4
1.070000E-8	-6.286542E-4
1.075000E-8	-6.697650E-4
1.080000E-8	-7.382830E-4
1.085000E-8	-8.256434E-4
1.090000E-8	-9.164298E-4
1.095000E-8	-1.000364E-3
1.100000E-8	-1.116845E-3
1.105000E-8	-1.159669E-3
1.110000E-8	-1.199067E-3
1.115000E-8	-1.185363E-3
1.120000E-8	-1.169946E-3
1.125000E-8	-1.080873E-3
1.130000E-8	-9.866607E-4
1.135000E-8	-8.342082E-4
1.140000E-8	-6.783297E-4
1.145000E-8	-5.053217E-4
1.150000E-8	-3.580080E-4
1.155000E-8	-2.552310E-4
1.160000E-8	-1.644447E-4
1.165000E-8	-1.558799E-4
1.170000E-8	-1.764353E-4
1.175000E-8	-2.363886E-4
1.180000E-8	-3.408785E-4
1.185000E-8	-4.847663E-4
1.190000E-8	-6.063858E-4
1.195000E-8	-7.776808E-4
1.200000E-8	-9.695312E-4
1.205000E-8	-1.104854E-3
1.210000E-8	-1.257307E-3
1.215000E-8	-1.408046E-3
1.220000E-8	-1.490268E-3
1.225000E-8	-1.551934E-3
1.230000E-8	-1.586193E-3
1.235000E-8	-1.548508E-3
1.240000E-8	-1.478277E-3
1.245000E-8	-1.375500E-3
1.250000E-8	-1.252168E-3
1.255000E-8	-1.082586E-3
1.260000E-8	-9.404111E-4
1.265000E-8	-8.376341E-4
1.270000E-8	-7.177276E-4
1.275000E-8	-6.474966E-4
1.280000E-8	-6.252283E-4
1.285000E-8	-6.183765E-4
1.290000E-8	-6.543484E-4
1.295000E-8	-6.954592E-4
1.300000E-8	-7.485607E-4
1.305000E-8	-8.153657E-4
1.310000E-8	-8.753190E-4
1.315000E-8	-9.489758E-4
1.320000E-8	-1.003790E-3
1.325000E-8	-1.039762E-3
1.330000E-8	-1.041475E-3
1.335000E-8	-1.072308E-3
1.340000E-8	-1.115132E-3
1.345000E-8	-1.135687E-3
1.350000E-8	-1.159669E-3
1.355000E-8	-1.207631E-3
1.360000E-8	-1.243603E-3
1.365000E-8	-1.274436E-3
1.370000E-8	-1.265872E-3
1.375000E-8	-1.276149E-3
1.380000E-8	-1.224761E-3
1.385000E-8	-1.168233E-3
1.390000E-8	-1.077447E-3
1.395000E-8	-9.524017E-4
1.400000E-8	-8.324952E-4
1.405000E-8	-7.280053E-4
1.410000E-8	-6.183765E-4
1.415000E-8	-5.601362E-4
1.420000E-8	-5.532844E-4
1.425000E-8	-5.532844E-4
1.430000E-8	-5.618491E-4
1.435000E-8	-6.080988E-4
1.440000E-8	-6.766168E-4
1.445000E-8	-6.954592E-4
1.450000E-8	-7.348571E-4
1.455000E-8	-7.331441E-4
1.460000E-8	-6.749038E-4
1.465000E-8	-5.721268E-4
1.470000E-8	-4.642109E-4
1.475000E-8	-3.408785E-4
1.480000E-8	-2.055555E-4
1.485000E-8	-9.935259E-5
1.490000E-8	-1.370508E-5
1.495000E-8	-8.566234E-6
1.500000E-8	-1.884393E-5
1.505000E-8	-1.318986E-4
1.510000E-8	-2.774994E-4
1.515000E-8	-4.231001E-4
1.520000E-8	-5.824045E-4
1.525000E-8	-7.639772E-4
1.530000E-8	-9.267075E-4
1.535000E-8	-1.070595E-3
1.540000E-8	-1.181937E-3
1.545000E-8	-1.228187E-3
1.550000E-8	-1.269297E-3
1.555000E-8	-1.305269E-3
1.560000E-8	-1.283001E-3
1.565000E-8	-1.241890E-3
1.570000E-8	-1.199067E-3
1.575000E-8	-1.157956E-3
1.580000E-8	-1.091151E-3
1.585000E-8	-1.017494E-3
1.590000E-8	-9.506888E-4
1.595000E-8	-8.941614E-4
1.600000E-8	-8.273564E-4
1.605000E-8	-7.639772E-4
1.610000E-8	-6.509225E-4
1.615000E-8	-5.584232E-4
1.620000E-8	-4.727757E-4
1.625000E-8	-3.597210E-4
1.630000E-8	-2.552310E-4
1.635000E-8	-1.267598E-4
1.640000E-8	-5.138999E-5
1.645000E-8	2.740572E-5
1.650000E-8	5.481292E-5
1.655000E-8	8.393307E-5
1.660000E-8	9.934962E-5
1.665000E-8	9.592372E-5
1.670000E-8	5.652587E-5
1.675000E-8	-3.254753E-5
1.680000E-8	-1.062044E-4
1.685000E-8	-2.432404E-4
1.690000E-8	-4.162483E-4
1.695000E-8	-5.892563E-4
1.700000E-8	-7.930974E-4
1.705000E-8	-9.866607E-4
1.710000E-8	-1.125410E-3
1.715000E-8	-1.259020E-3
1.720000E-8	-1.342954E-3
1.725000E-8	-1.363510E-3
1.730000E-8	-1.330964E-3
1.735000E-8	-1.272723E-3
1.740000E-8	-1.188789E-3
1.745000E-8	-1.089438E-3
1.750000E-8	-9.455499E-4
1.755000E-8	-7.776808E-4
1.760000E-8	-6.663391E-4
1.765000E-8	-5.875434E-4
1.770000E-8	-5.395808E-4
1.775000E-8	-5.412937E-4
1.780000E-8	-5.892563E-4
1.785000E-8	-7.057369E-4
1.790000E-8	-8.205046E-4
1.795000E-8	-9.438370E-4
1.800000E-8	-1.058605E-3
1.805000E-8	-1.166520E-3
1.810000E-8	-1.219622E-3
1.815000E-8	-1.240177E-3
1.820000E-8	-1.229900E-3
1.825000E-8	-1.142539E-3
1.830000E-8	-1.019207E-3
1.835000E-8	-8.753190E-4
1.840000E-8	-6.954592E-4
1.845000E-8	-5.275901E-4
1.850000E-8	-3.751375E-4
1.855000E-8	-2.672217E-4
1.860000E-8	-2.021296E-4
1.865000E-8	-1.918519E-4
1.870000E-8	-1.987037E-4
1.875000E-8	-2.620828E-4
1.880000E-8	-3.391656E-4
1.885000E-8	-4.128224E-4
1.890000E-8	-5.275901E-4
1.895000E-8	-6.029599E-4
1.900000E-8	-6.988851E-4
1.905000E-8	-8.085139E-4
1.910000E-8	-8.547636E-4
1.915000E-8	-8.701801E-4
1.920000E-8	-8.599024E-4
1.925000E-8	-8.050880E-4
1.930000E-8	-6.988851E-4
1.935000E-8	-5.824045E-4
1.940000E-8	-5.310160E-4
1.945000E-8	-4.933311E-4
1.950000E-8	-4.642109E-4
1.955000E-8	-4.779145E-4
1.960000E-8	-5.327290E-4
1.965000E-8	-6.063858E-4
1.970000E-8	-7.228664E-4
1.975000E-8	-8.444859E-4
1.980000E-8	-9.712442E-4
1.985000E-8	-1.079160E-3
1.990000E-8	-1.123697E-3
1.995000E-8	-1.098002E-3
2.000000E-8	-9.969384E-4
2.005000E-8	-8.718931E-4
2.010000E-8	-6.988851E-4
2.015000E-8	-5.036088E-4
2.020000E-8	-2.689346E-4
2.025000E-8	-5.310294E-5
2.030000E-8	1.284698E-4
2.035000E-8	2.398115E-4
2.040000E-8	2.929130E-4
2.045000E-8	2.620799E-4
2.050000E-8	1.798583E-4
2.055000E-8	6.509062E-5
2.060000E-8	-1.130562E-4
2.065000E-8	-3.049066E-4
2.070000E-8	-5.241642E-4
2.075000E-8	-7.211535E-4
2.080000E-8	-9.249945E-4
2.085000E-8	-1.084299E-3
2.090000E-8	-1.209344E-3
2.095000E-8	-1.291566E-3
2.100000E-8	-1.329251E-3
2.105000E-8	-1.356658E-3
2.110000E-8	-1.360084E-3
2.115000E-8	-1.339528E-3
2.120000E-8	-1.294992E-3
2.125000E-8	-1.228187E-3
2.130000E-8	-1.157956E-3
2.135000E-8	-1.096290E-3
2.140000E-8	-1.003790E-3
2.145000E-8	-9.232816E-4
2.150000E-8	-8.359211E-4
2.155000E-8	-7.588384E-4
2.160000E-8	-6.817556E-4
2.165000E-8	-6.166635E-4
2.170000E-8	-5.755527E-4
2.175000E-8	-4.813404E-4
2.180000E-8	-4.470814E-4
2.185000E-8	-4.248131E-4
2.190000E-8	-3.905541E-4
2.195000E-8	-3.819893E-4
2.200000E-8	-3.699987E-4
2.205000E-8	-3.888411E-4
2.210000E-8	-3.819893E-4
2.215000E-8	-4.111095E-4
2.220000E-8	-4.111095E-4
2.225000E-8	-4.316649E-4
2.230000E-8	-4.042577E-4
2.235000E-8	-3.837023E-4
2.240000E-8	-3.614339E-4
2.245000E-8	-3.117584E-4
2.250000E-8	-2.689346E-4
2.255000E-8	-2.398145E-4
2.260000E-8	-1.952778E-4
2.265000E-8	-1.781483E-4
2.270000E-8	-1.678706E-4
2.275000E-8	-1.712965E-4
2.280000E-8	-1.867130E-4
2.285000E-8	-1.901389E-4
2.290000E-8	-2.141202E-4
2.295000E-8	-2.792123E-4
