Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	unirradiated_10
Operator	Angus
Date	1/4/2022
Time	12:46
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:47:15
	
Time	Amplitude
0.000000E+0	-2.723605E-4
5.000000E-11	-4.624980E-4
1.000000E-10	-6.680520E-4
1.500000E-10	-8.324952E-4
2.000000E-10	-9.626794E-4
2.500000E-10	-1.031197E-3
3.000000E-10	-1.039762E-3
3.500000E-10	-9.986514E-4
4.000000E-10	-9.027262E-4
4.500000E-10	-7.519866E-4
5.000000E-10	-6.012470E-4
5.500000E-10	-4.299519E-4
6.000000E-10	-3.049066E-4
6.500000E-10	-1.730094E-4
7.000000E-10	-1.147691E-4
7.500000E-10	-9.421374E-5
8.000000E-10	-1.421763E-4
8.500000E-10	-2.209720E-4
9.000000E-10	-3.288879E-4
9.500000E-10	-4.693498E-4
1.000000E-9	-6.303671E-4
1.050000E-9	-7.571254E-4
1.100000E-9	-8.427729E-4
1.150000E-9	-8.599024E-4
1.200000E-9	-8.667542E-4
1.250000E-9	-8.513377E-4
1.300000E-9	-7.999492E-4
1.350000E-9	-7.245794E-4
1.400000E-9	-6.183765E-4
1.450000E-9	-5.327290E-4
1.500000E-9	-4.368037E-4
1.550000E-9	-3.391656E-4
1.600000E-9	-2.603699E-4
1.650000E-9	-1.952778E-4
1.700000E-9	-1.935648E-4
1.750000E-9	-2.346756E-4
1.800000E-9	-2.929159E-4
1.850000E-9	-3.443044E-4
1.900000E-9	-4.179613E-4
1.950000E-9	-5.036088E-4
2.000000E-9	-5.875434E-4
2.050000E-9	-6.423578E-4
2.100000E-9	-7.108758E-4
2.150000E-9	-7.571254E-4
2.200000E-9	-7.828197E-4
2.250000E-9	-7.691161E-4
2.300000E-9	-7.862456E-4
2.350000E-9	-7.434218E-4
2.400000E-9	-6.783297E-4
2.450000E-9	-5.635621E-4
2.500000E-9	-4.796275E-4
2.550000E-9	-3.802764E-4
2.600000E-9	-3.134713E-4
2.650000E-9	-2.569440E-4
2.700000E-9	-2.278238E-4
2.750000E-9	-2.518051E-4
2.800000E-9	-2.809253E-4
2.850000E-9	-3.357397E-4
2.900000E-9	-3.905541E-4
2.950000E-9	-4.419426E-4
3.000000E-9	-4.796275E-4
3.050000E-9	-4.984699E-4
3.100000E-9	-4.796275E-4
3.150000E-9	-4.316649E-4
3.200000E-9	-3.323138E-4
3.250000E-9	-2.346756E-4
3.300000E-9	-1.164821E-4
3.350000E-9	4.453522E-5
3.400000E-9	2.021266E-4
3.450000E-9	3.254590E-4
3.500000E-9	4.111065E-4
3.550000E-9	4.350878E-4
3.600000E-9	4.076806E-4
3.650000E-9	4.076806E-4
3.700000E-9	3.682828E-4
3.750000E-9	2.997648E-4
3.800000E-9	2.089784E-4
3.850000E-9	1.387475E-4
3.900000E-9	5.481292E-5
3.950000E-9	-4.796409E-5
4.000000E-9	-1.541670E-4
4.050000E-9	-2.432404E-4
4.100000E-9	-3.203231E-4
4.150000E-9	-3.768505E-4
4.200000E-9	-4.470814E-4
4.250000E-9	-5.121735E-4
4.300000E-9	-5.584232E-4
4.350000E-9	-5.995340E-4
4.400000E-9	-5.875434E-4
4.450000E-9	-6.183765E-4
4.500000E-9	-6.337930E-4
4.550000E-9	-6.406448E-4
4.600000E-9	-6.543484E-4
4.650000E-9	-7.125887E-4
4.700000E-9	-7.536995E-4
4.750000E-9	-7.776808E-4
4.800000E-9	-8.393470E-4
4.850000E-9	-9.010132E-4
4.900000E-9	-9.421240E-4
4.950000E-9	-9.421240E-4
5.000000E-9	-9.284204E-4
5.050000E-9	-8.855967E-4
5.100000E-9	-8.599024E-4
5.150000E-9	-7.776808E-4
5.200000E-9	-6.492096E-4
5.250000E-9	-5.053217E-4
5.300000E-9	-3.665728E-4
5.350000E-9	-2.466663E-4
5.400000E-9	-1.524540E-4
5.450000E-9	-7.194539E-5
5.500000E-9	-1.713098E-5
5.550000E-9	6.850316E-6
5.600000E-9	-1.714434E-6
5.650000E-9	-1.713098E-5
5.700000E-9	-7.365834E-5
5.750000E-9	-1.507411E-4
5.800000E-9	-2.432404E-4
5.850000E-9	-3.597210E-4
5.900000E-9	-4.813404E-4
5.950000E-9	-6.218024E-4
6.000000E-9	-7.571254E-4
6.050000E-9	-8.650413E-4
6.100000E-9	-9.438370E-4
6.150000E-9	-9.643924E-4
6.200000E-9	-9.472629E-4
6.250000E-9	-8.376341E-4
6.300000E-9	-7.485607E-4
6.350000E-9	-6.440707E-4
6.400000E-9	-4.830534E-4
6.450000E-9	-2.603699E-4
6.500000E-9	1.541507E-5
6.550000E-9	4.179583E-4
6.600000E-9	9.352692E-4
6.650000E-9	1.601607E-3
6.700000E-9	2.482063E-3
6.750000E-9	3.605758E-3
6.800000E-9	5.054914E-3
6.850000E-9	6.851799E-3
6.900000E-9	9.003264E-3
6.950000E-9	1.149389E-2
7.000000E-9	1.430484E-2
7.050000E-9	1.734019E-2
7.100000E-9	2.047146E-2
7.150000E-9	2.360788E-2
7.200000E-9	2.662781E-2
7.250000E-9	2.944390E-2
7.300000E-9	3.202189E-2
7.350000E-9	3.420076E-2
7.400000E-9	3.598565E-2
7.450000E-9	3.734916E-2
7.500000E-9	3.831013E-2
7.550000E-9	3.898503E-2
7.600000E-9	3.944410E-2
7.650000E-9	3.975414E-2
7.700000E-9	3.999053E-2
7.750000E-9	4.023548E-2
7.800000E-9	4.054895E-2
7.850000E-9	4.099089E-2
7.900000E-9	4.152362E-2
7.950000E-9	4.220195E-2
8.000000E-9	4.294023E-2
8.050000E-9	4.366138E-2
8.100000E-9	4.426434E-2
8.150000E-9	4.475938E-2
8.200000E-9	4.506429E-2
8.250000E-9	4.514480E-2
8.300000E-9	4.499920E-2
