Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	unirradiated_18
Operator	Angus
Date	1/4/2022
Time	12:54
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:54:47
	
Time	Amplitude
0.000000E+0	8.566234E-6
5.000000E-11	4.453819E-5
1.000000E-10	3.768638E-5
1.500000E-10	1.027918E-5
2.000000E-10	-6.337767E-5
2.500000E-10	-1.336086E-4
3.000000E-10	-1.918489E-4
3.500000E-10	-2.398115E-4
4.000000E-10	-2.723576E-4
4.500000E-10	-2.689317E-4
5.000000E-10	-2.620799E-4
5.500000E-10	-2.346727E-4
6.000000E-10	-2.124043E-4
6.500000E-10	-1.952748E-4
7.000000E-10	-1.987007E-4
7.500000E-10	-2.072655E-4
8.000000E-10	-2.106914E-4
8.500000E-10	-2.243950E-4
9.000000E-10	-2.278209E-4
9.500000E-10	-2.569410E-4
1.000000E-9	-2.877741E-4
1.050000E-9	-3.031907E-4
1.100000E-9	-3.049036E-4
1.150000E-9	-3.100425E-4
1.200000E-9	-2.877741E-4
1.250000E-9	-2.894871E-4
1.300000E-9	-3.168943E-4
1.350000E-9	-3.186072E-4
1.400000E-9	-3.443015E-4
1.450000E-9	-3.819864E-4
1.500000E-9	-4.453655E-4
1.550000E-9	-4.864763E-4
1.600000E-9	-5.635591E-4
1.650000E-9	-6.183735E-4
1.700000E-9	-6.783267E-4
1.750000E-9	-7.228634E-4
1.800000E-9	-7.468447E-4
1.850000E-9	-7.502706E-4
1.900000E-9	-7.331411E-4
1.950000E-9	-7.005951E-4
2.000000E-9	-6.526325E-4
2.050000E-9	-5.961051E-4
2.100000E-9	-5.327260E-4
2.150000E-9	-4.556432E-4
2.200000E-9	-4.008288E-4
2.250000E-9	-3.323108E-4
2.300000E-9	-2.792094E-4
2.350000E-9	-2.175432E-4
2.400000E-9	-1.695806E-4
2.450000E-9	-1.541640E-4
2.500000E-9	-1.541640E-4
2.550000E-9	-1.627288E-4
2.600000E-9	-1.627288E-4
2.650000E-9	-1.867101E-4
2.700000E-9	-2.158302E-4
2.750000E-9	-2.552281E-4
2.800000E-9	-3.186072E-4
2.850000E-9	-3.734216E-4
2.900000E-9	-4.333749E-4
2.950000E-9	-5.070317E-4
3.000000E-9	-5.601332E-4
3.050000E-9	-5.978181E-4
3.100000E-9	-6.389289E-4
3.150000E-9	-6.629102E-4
3.200000E-9	-6.749008E-4
3.250000E-9	-6.766138E-4
3.300000E-9	-6.646231E-4
3.350000E-9	-6.577713E-4
3.400000E-9	-6.577713E-4
3.450000E-9	-6.543454E-4
3.500000E-9	-6.440677E-4
3.550000E-9	-6.269382E-4
3.600000E-9	-6.372159E-4
3.650000E-9	-6.389289E-4
3.700000E-9	-6.217994E-4
3.750000E-9	-6.149476E-4
3.800000E-9	-5.841145E-4
3.850000E-9	-5.412907E-4
3.900000E-9	-4.796245E-4
3.950000E-9	-4.128195E-4
4.000000E-9	-3.305979E-4
4.050000E-9	-2.329597E-4
4.100000E-9	-1.353216E-4
4.150000E-9	-5.995177E-5
4.200000E-9	-3.424416E-6
4.250000E-9	3.254753E-5
4.300000E-9	3.939934E-5
4.350000E-9	4.111229E-5
4.400000E-9	1.541803E-5
4.450000E-9	-1.884097E-5
4.500000E-9	-6.509062E-5
4.550000E-9	-1.113403E-4
4.600000E-9	-1.421734E-4
4.650000E-9	-1.644417E-4
4.700000E-9	-2.004137E-4
4.750000E-9	-2.004137E-4
4.800000E-9	-1.832842E-4
4.850000E-9	-1.730065E-4
4.900000E-9	-1.627288E-4
4.950000E-9	-1.387475E-4
5.000000E-9	-9.249782E-5
5.050000E-9	-6.509062E-5
5.100000E-9	-4.453522E-5
5.150000E-9	-2.397982E-5
5.200000E-9	-5.137366E-6
5.250000E-9	2.569573E-5
5.300000E-9	4.967704E-5
5.350000E-9	8.051014E-5
5.400000E-9	1.267598E-4
5.450000E-9	1.850001E-4
5.500000E-9	2.363886E-4
5.550000E-9	3.100454E-4
5.600000E-9	3.785634E-4
5.650000E-9	4.522203E-4
5.700000E-9	4.984699E-4
5.750000E-9	5.669880E-4
5.800000E-9	6.080988E-4
5.850000E-9	6.406448E-4
5.900000E-9	6.218024E-4
5.950000E-9	5.892563E-4
6.000000E-9	5.532844E-4
6.050000E-9	5.053217E-4
6.100000E-9	4.624980E-4
6.150000E-9	4.162483E-4
6.200000E-9	3.854152E-4
6.250000E-9	3.254620E-4
6.300000E-9	2.740735E-4
6.350000E-9	2.175461E-4
6.400000E-9	1.524540E-4
6.450000E-9	5.652884E-5
6.500000E-9	-3.939637E-5
6.550000E-9	-1.849971E-4
6.600000E-9	-3.922641E-4
6.650000E-9	-6.663361E-4
6.700000E-9	-1.056889E-3
6.750000E-9	-1.575913E-3
6.800000E-9	-2.226834E-3
6.850000E-9	-3.050763E-3
6.900000E-9	-4.100801E-3
6.950000E-9	-5.325560E-3
7.000000E-9	-6.755874E-3
7.050000E-9	-8.374611E-3
7.100000E-9	-1.015094E-2
7.150000E-9	-1.203176E-2
7.200000E-9	-1.393656E-2
7.250000E-9	-1.582423E-2
7.300000E-9	-1.764167E-2
7.350000E-9	-1.930323E-2
7.400000E-9	-2.076780E-2
7.450000E-9	-2.203881E-2
7.500000E-9	-2.306145E-2
7.550000E-9	-2.385797E-2
7.600000E-9	-2.446264E-2
7.650000E-9	-2.490629E-2
7.700000E-9	-2.523518E-2
7.750000E-9	-2.550240E-2
7.800000E-9	-2.574735E-2
7.850000E-9	-2.601971E-2
7.900000E-9	-2.636915E-2
7.950000E-9	-2.672031E-2
8.000000E-9	-2.709030E-2
8.050000E-9	-2.748428E-2
8.100000E-9	-2.788683E-2
8.150000E-9	-2.821571E-2
8.200000E-9	-2.849150E-2
8.250000E-9	-2.867136E-2
8.300000E-9	-2.870048E-2
8.350000E-9	-2.861654E-2
8.400000E-9	-2.836474E-2
8.450000E-9	-2.796905E-2
8.500000E-9	-2.745687E-2
8.550000E-9	-2.684364E-2
8.600000E-9	-2.614133E-2
8.650000E-9	-2.540305E-2
8.700000E-9	-2.462023E-2
8.750000E-9	-2.379801E-2
8.800000E-9	-2.301520E-2
8.850000E-9	-2.222895E-2
8.900000E-9	-2.149923E-2
8.950000E-9	-2.079521E-2
9.000000E-9	-2.013915E-2
9.050000E-9	-1.953448E-2
9.100000E-9	-1.900861E-2
9.150000E-9	-1.853754E-2
9.200000E-9	-1.812301E-2
9.250000E-9	-1.781297E-2
9.300000E-9	-1.762454E-2
9.350000E-9	-1.752348E-2
9.400000E-9	-1.750635E-2
9.450000E-9	-1.763311E-2
9.500000E-9	-1.789519E-2
9.550000E-9	-1.824120E-2
9.600000E-9	-1.870199E-2
9.650000E-9	-1.923643E-2
9.700000E-9	-1.982226E-2
9.750000E-9	-2.043378E-2
9.800000E-9	-2.108470E-2
9.850000E-9	-2.172021E-2
9.900000E-9	-2.232145E-2
9.950000E-9	-2.291584E-2
1.000000E-8	-2.346570E-2
1.005000E-8	-2.396246E-2
1.010000E-8	-2.439755E-2
1.015000E-8	-2.475555E-2
1.020000E-8	-2.503648E-2
1.025000E-8	-2.527972E-2
1.030000E-8	-2.545444E-2
1.035000E-8	-2.554694E-2
1.040000E-8	-2.556407E-2
1.045000E-8	-2.552124E-2
1.050000E-8	-2.539962E-2
1.055000E-8	-2.521805E-2
1.060000E-8	-2.495768E-2
1.065000E-8	-2.462194E-2
1.070000E-8	-2.422625E-2
1.075000E-8	-2.378602E-2
1.080000E-8	-2.328584E-2
1.085000E-8	-2.274455E-2
1.090000E-8	-2.217585E-2
1.095000E-8	-2.156433E-2
1.100000E-8	-2.093910E-2
1.105000E-8	-2.030360E-2
1.110000E-8	-1.965439E-2
1.115000E-8	-1.900518E-2
1.120000E-8	-1.835940E-2
1.125000E-8	-1.774616E-2
1.130000E-8	-1.714492E-2
1.135000E-8	-1.661219E-2
1.140000E-8	-1.613770E-2
1.145000E-8	-1.575571E-2
1.150000E-8	-1.545252E-2
1.155000E-8	-1.524697E-2
1.160000E-8	-1.517674E-2
1.165000E-8	-1.521099E-2
1.170000E-8	-1.535831E-2
1.175000E-8	-1.560326E-2
1.180000E-8	-1.595270E-2
1.185000E-8	-1.642890E-2
1.190000E-8	-1.698561E-2
1.195000E-8	-1.761598E-2
1.200000E-8	-1.829602E-2
1.205000E-8	-1.902916E-2
1.210000E-8	-1.975888E-2
1.215000E-8	-2.052970E-2
1.220000E-8	-2.123373E-2
1.225000E-8	-2.190349E-2
1.230000E-8	-2.250988E-2
1.235000E-8	-2.304260E-2
1.240000E-8	-2.347598E-2
1.245000E-8	-2.382371E-2
1.250000E-8	-2.406866E-2
1.255000E-8	-2.421083E-2
1.260000E-8	-2.427421E-2
1.265000E-8	-2.426907E-2
1.270000E-8	-2.416287E-2
1.275000E-8	-2.396588E-2
1.280000E-8	-2.369866E-2
1.285000E-8	-2.333380E-2
1.290000E-8	-2.290728E-2
1.295000E-8	-2.240367E-2
1.300000E-8	-2.185724E-2
1.305000E-8	-2.128169E-2
1.310000E-8	-2.067017E-2
1.315000E-8	-1.999698E-2
1.320000E-8	-1.932036E-2
1.325000E-8	-1.863004E-2
1.330000E-8	-1.792602E-2
1.335000E-8	-1.722029E-2
1.340000E-8	-1.654881E-2
1.345000E-8	-1.591502E-2
1.350000E-8	-1.529836E-2
1.355000E-8	-1.475878E-2
1.360000E-8	-1.429114E-2
1.365000E-8	-1.390401E-2
1.370000E-8	-1.362138E-2
1.375000E-8	-1.344152E-2
1.380000E-8	-1.340726E-2
1.385000E-8	-1.347064E-2
1.390000E-8	-1.370360E-2
1.395000E-8	-1.403420E-2
1.400000E-8	-1.446244E-2
1.405000E-8	-1.501229E-2
1.410000E-8	-1.563238E-2
1.415000E-8	-1.630043E-2
1.420000E-8	-1.699418E-2
1.425000E-8	-1.771875E-2
1.430000E-8	-1.841421E-2
1.435000E-8	-1.908740E-2
1.440000E-8	-1.971948E-2
1.445000E-8	-2.032586E-2
1.450000E-8	-2.085859E-2
1.455000E-8	-2.133650E-2
1.460000E-8	-2.177845E-2
1.465000E-8	-2.215529E-2
1.470000E-8	-2.242937E-2
1.475000E-8	-2.263321E-2
1.480000E-8	-2.274455E-2
1.485000E-8	-2.277367E-2
1.490000E-8	-2.269145E-2
1.495000E-8	-2.253900E-2
1.500000E-8	-2.227520E-2
1.505000E-8	-2.193946E-2
1.510000E-8	-2.149581E-2
1.515000E-8	-2.093567E-2
1.520000E-8	-2.032758E-2
1.525000E-8	-1.966809E-2
1.530000E-8	-1.897092E-2
1.535000E-8	-1.824463E-2
1.540000E-8	-1.755260E-2
1.545000E-8	-1.682631E-2
1.550000E-8	-1.613599E-2
1.555000E-8	-1.549363E-2
1.560000E-8	-1.491294E-2
1.565000E-8	-1.436480E-2
1.570000E-8	-1.387661E-2
1.575000E-8	-1.344494E-2
1.580000E-8	-1.309208E-2
1.585000E-8	-1.281458E-2
1.590000E-8	-1.262101E-2
1.595000E-8	-1.252680E-2
1.600000E-8	-1.248912E-2
1.605000E-8	-1.255250E-2
1.610000E-8	-1.270152E-2
1.615000E-8	-1.294476E-2
1.620000E-8	-1.327194E-2
1.625000E-8	-1.369332E-2
1.630000E-8	-1.419008E-2
1.635000E-8	-1.475878E-2
1.640000E-8	-1.537544E-2
1.645000E-8	-1.605034E-2
1.650000E-8	-1.673723E-2
1.655000E-8	-1.742584E-2
1.660000E-8	-1.810245E-2
1.665000E-8	-1.873625E-2
1.670000E-8	-1.933064E-2
1.675000E-8	-1.985480E-2
1.680000E-8	-2.030531E-2
1.685000E-8	-2.065646E-2
1.690000E-8	-2.090313E-2
1.695000E-8	-2.105044E-2
1.700000E-8	-2.109498E-2
