grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 4.5428966e+08 3379.5651 0.085033468 0.0017969559 1.8635766e-05 1.3648939e-07 4.5148135e-07 1.2456457e-06 0.019116761 0.00012322657 1.4027484 0.0041256178 2.9409476e-08 2.269194e-10 0.0019249003 2.81605e-05
0.91 5.887973 4.5428965e+08 3379.5648 0.08503289 0.001796931 1.9052153e-05 1.3953616e-07 4.5108044e-07 1.2456489e-06 0.019116758 0.0001232265 1.4027485 0.0041256161 2.9409479e-08 2.2691934e-10 0.0019248942 2.8160835e-05
0.92 5.952676 4.5428963e+08 3379.5598 0.085032356 0.0017969111 1.9473143e-05 1.4261691e-07 4.5071143e-07 1.2456541e-06 0.019116758 0.00012322674 1.4027522 0.0041256246 2.9409472e-08 2.2691971e-10 0.0019248886 2.816122e-05
0.93 6.017379 4.5428963e+08 3379.5598 0.085031855 0.001796888 1.9898735e-05 1.4573101e-07 4.5036416e-07 1.2456559e-06 0.019116755 0.00012322666 1.4027523 0.0041256228 2.9409475e-08 2.2691964e-10 0.0019248833 2.8161528e-05
0.94 6.082082 4.5428963e+08 3379.5597 0.085031399 0.0017968658 2.032893e-05 1.4887877e-07 4.5004857e-07 1.245657e-06 0.019116752 0.00012322659 1.4027522 0.0041256212 2.9409478e-08 2.2691958e-10 0.0019248784 2.8161823e-05
0.95 6.146785 4.5428963e+08 3379.5597 0.085030993 0.0017968448 2.076373e-05 1.5206019e-07 4.4976807e-07 1.2456572e-06 0.019116749 0.00012322653 1.4027522 0.0041256202 2.940948e-08 2.2691952e-10 0.0019248741 2.8162105e-05
0.96 6.211488 4.5428963e+08 3379.5597 0.085030644 0.0017968248 2.1203133e-05 1.5527528e-07 4.4952684e-07 1.2456564e-06 0.019116747 0.00012322647 1.4027522 0.0041256175 2.9409483e-08 2.2691947e-10 0.0019248703 2.8162375e-05
0.97 6.276191 4.5428964e+08 3379.5623 0.085030354 0.0017968037 2.1647142e-05 1.5852383e-07 4.4932662e-07 1.245653e-06 0.019116743 0.00012322626 1.4027503 0.0041256117 2.9409491e-08 2.2691919e-10 0.0019248671 2.8162598e-05
0.98 6.340894 4.5428964e+08 3379.5622 0.08503014 0.0017967862 2.2095757e-05 1.6180625e-07 4.491803e-07 1.2456495e-06 0.019116742 0.00012322623 1.4027504 0.0041256115 2.9409492e-08 2.2691917e-10 0.0019248646 2.8162843e-05
0.99 6.405597 4.5428964e+08 3379.5621 0.085029761 0.0017967675 2.2548959e-05 1.6512234e-07 4.4891762e-07 1.2456503e-06 0.01911674 0.00012322618 1.4027505 0.0041256103 2.9409494e-08 2.2691913e-10 0.0019248606 2.8163096e-05
1 6.4703 4.5428964e+08 3379.5619 0.085029284 0.0017967483 2.3006753e-05 1.6847211e-07 4.4858681e-07 1.2456536e-06 0.019116737 0.00012322612 1.4027506 0.0041256087 2.9409497e-08 2.2691907e-10 0.0019248556 2.8163352e-05
1.01 6.535003 4.5428964e+08 3379.5618 0.085028827 0.0017967297 2.3469149e-05 1.7185554e-07 4.4827036e-07 1.2456567e-06 0.019116734 0.00012322605 1.4027507 0.0041256072 2.9409499e-08 2.2691902e-10 0.0019248509 2.8163599e-05
1.02 6.599706 4.5428964e+08 3379.5616 0.085028393 0.0017967117 2.3936146e-05 1.7527264e-07 4.4796887e-07 1.2456595e-06 0.019116731 0.000123226 1.4027508 0.0041256067 2.9409502e-08 2.2691897e-10 0.0019248464 2.8163838e-05
1.03 6.664409 4.5428964e+08 3379.5615 0.085027981 0.0017966944 2.4407745e-05 1.787234e-07 4.4768333e-07 1.245662e-06 0.019116729 0.00012322594 1.4027509 0.0041256057 2.9409505e-08 2.2691892e-10 0.0019248421 2.816407e-05
1.04 6.729112 4.5428964e+08 3379.5613 0.085027593 0.0017966777 2.4883946e-05 1.8220783e-07 4.4741417e-07 1.2456641e-06 0.019116726 0.00012322589 1.402751 0.0041256036 2.9409507e-08 2.2691888e-10 0.001924838 2.8164294e-05
1.05 6.793815 4.542896e+08 3379.5554 0.085027239 0.0017966665 2.5364749e-05 1.8572643e-07 4.4717027e-07 1.2456689e-06 0.019116729 0.00012322622 1.4027554 0.0041256144 2.9409496e-08 2.2691936e-10 0.0019248343 2.8164586e-05
1.06 6.858518 4.5428961e+08 3379.5557 0.085026903 0.0017966506 2.5850155e-05 1.8927816e-07 4.4693718e-07 1.2456699e-06 0.019116726 0.00012322614 1.4027551 0.0041256126 2.9409499e-08 2.2691928e-10 0.0019248307 2.8164789e-05
1.07 6.923221 4.5428961e+08 3379.556 0.085026595 0.0017966354 2.6340164e-05 1.9286355e-07 4.4672416e-07 1.2456705e-06 0.019116724 0.00012322607 1.4027548 0.0041256109 2.9409502e-08 2.2691921e-10 0.0019248275 2.8164984e-05
1.08 6.987924 4.5428961e+08 3379.5563 0.085026174 0.0017966194 2.6834762e-05 1.9648262e-07 4.4643154e-07 1.2456739e-06 0.019116721 0.00012322599 1.4027546 0.0041256089 2.9409505e-08 2.2691912e-10 0.0019248231 2.8165185e-05
1.09 7.052627 4.5428961e+08 3379.5565 0.085025564 0.0017966019 2.733394e-05 2.0013537e-07 4.4600694e-07 1.245682e-06 0.019116717 0.00012322588 1.4027545 0.0041256055 2.940951e-08 2.2691901e-10 0.0019248171 2.8165399e-05
1.1 7.11733 4.5428961e+08 3379.5567 0.085024871 0.0017965838 2.7837709e-05 2.038218e-07 4.4552399e-07 1.2456922e-06 0.019116712 0.00012322576 1.4027543 0.0041256028 2.9409515e-08 2.269189e-10 0.0019248102 2.8165616e-05
