grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.79861 4.1328162e+08 3605.4524 0.01916846 0.0095542091 5.8155661e-05 3.7766928e-06 5.6379387e-06 1.88045e-05 0.0028453141 6.5972866e-05 2.1805671 0.014756033 3.726908e-08 1.0581078e-09 -1.8029459e-05 9.0324379e-06
0.91 5.863039 4.132814e+08 3605.5414 0.019124833 0.0095471498 5.9437128e-05 3.8617455e-06 5.5555434e-06 1.8876567e-05 0.0028452778 6.59722e-05 2.1806019 0.014756102 3.7269396e-08 1.0581222e-09 -1.8046681e-05 9.0330486e-06
0.92 5.927468 4.1328121e+08 3605.6232 0.019079413 0.0095397818 6.0731338e-05 3.9477431e-06 5.4686813e-06 1.8952389e-05 0.0028452416 6.59715e-05 2.1806337 0.014756164 3.7269705e-08 1.0581358e-09 -1.8064715e-05 9.033682e-06
0.93 5.991897 4.1328103e+08 3605.6976 0.019032543 0.0095321565 6.2038361e-05 4.0346737e-06 5.3779033e-06 1.903147e-05 0.0028452058 6.597077e-05 2.1806623 0.014756216 3.7270006e-08 1.0581487e-09 -1.8083454e-05 9.0343334e-06
0.94 6.056326 4.1328087e+08 3605.7649 0.018984594 0.0095243299 6.3358291e-05 4.1225261e-06 5.2838392e-06 1.9113253e-05 0.0028451704 6.5970014e-05 2.1806879 0.014756262 3.7270298e-08 1.0581606e-09 -1.8102775e-05 9.0349985e-06
0.95 6.120755 4.1328073e+08 3605.8253 0.018935951 0.009516362 6.4691246e-05 4.2112898e-06 5.1871832e-06 1.919713e-05 0.0028451357 6.5969237e-05 2.1807106 0.014756298 3.727058e-08 1.0581716e-09 -1.8122542e-05 9.0356721e-06
0.96 6.185184 4.132806e+08 3605.8793 0.018887002 0.0095083141 6.6037361e-05 4.3009557e-06 5.0886752e-06 1.9282462e-05 0.0028451019 6.5968443e-05 2.1807307 0.014756327 3.7270851e-08 1.0581817e-09 -1.8142612e-05 9.0363496e-06
0.97 6.249613 4.1328048e+08 3605.9267 0.018838118 0.0095002468 6.7396784e-05 4.3915169e-06 4.9890666e-06 1.9368603e-05 0.0028450691 6.5967641e-05 2.1807481 0.014756346 3.727111e-08 1.0581908e-09 -1.8162837e-05 9.0370258e-06
0.98 6.314042 4.132816e+08 3605.4574 0.019491232 0.0096057915 6.9109038e-05 4.4703142e-06 6.2193674e-06 1.8292303e-05 0.0028454472 6.5975129e-05 2.1805728 0.014755706 3.7269244e-08 1.0580928e-09 -1.7900306e-05 9.028133e-06
0.99 6.378471 4.1328032e+08 3605.9944 0.019481812 0.0096042568 7.05217e-05 4.5621774e-06 6.2026642e-06 1.8306916e-05 0.0028453534 6.5973911e-05 2.1807873 0.014755979 3.7270697e-08 1.0581575e-09 -1.7904868e-05 9.0284e-06
1 6.4429 4.1328031e+08 3606.0009 0.019470234 0.0096022804 7.1947601e-05 4.6549894e-06 6.1821807e-06 1.8324676e-05 0.0028453487 6.5973849e-05 2.1807899 0.014755995 3.7270682e-08 1.058158e-09 -1.7909996e-05 9.0285662e-06
