Study Name	VanadiumIrradiated_V3plus
Sample Name	2022-01-04
Run Name	unirradiated_1
Operator	Angus
Date	1/4/2022
Time	13:42
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:27
	
Time	Amplitude
0.000000E+0	-1.663275E-3
5.000000E-11	-1.641006E-3
1.000000E-10	-1.589618E-3
1.500000E-10	-1.548507E-3
2.000000E-10	-1.529664E-3
2.500000E-10	-1.521100E-3
3.000000E-10	-1.488554E-3
3.500000E-10	-1.449156E-3
4.000000E-10	-1.401193E-3
4.500000E-10	-1.332675E-3
5.000000E-10	-1.267583E-3
5.500000E-10	-1.231611E-3
6.000000E-10	-1.211056E-3
6.500000E-10	-1.241889E-3
7.000000E-10	-1.264157E-3
7.500000E-10	-1.300129E-3
8.000000E-10	-1.351518E-3
8.500000E-10	-1.402906E-3
9.000000E-10	-1.469711E-3
9.500000E-10	-1.527951E-3
1.000000E-9	-1.581053E-3
1.050000E-9	-1.630728E-3
1.100000E-9	-1.647858E-3
1.150000E-9	-1.649571E-3
1.200000E-9	-1.634154E-3
1.250000E-9	-1.627303E-3
1.300000E-9	-1.586192E-3
1.350000E-9	-1.574201E-3
1.400000E-9	-1.589618E-3
1.450000E-9	-1.581053E-3
1.500000E-9	-1.594756E-3
1.550000E-9	-1.623877E-3
1.600000E-9	-1.646145E-3
1.650000E-9	-1.632441E-3
1.700000E-9	-1.587905E-3
1.750000E-9	-1.545081E-3
1.800000E-9	-1.509109E-3
1.850000E-9	-1.478276E-3
1.900000E-9	-1.449156E-3
1.950000E-9	-1.420036E-3
2.000000E-9	-1.382351E-3
2.050000E-9	-1.366934E-3
2.100000E-9	-1.339527E-3
2.150000E-9	-1.337814E-3
2.200000E-9	-1.354943E-3
2.250000E-9	-1.366934E-3
2.300000E-9	-1.397767E-3
2.350000E-9	-1.452582E-3
2.400000E-9	-1.515961E-3
2.450000E-9	-1.581053E-3
2.500000E-9	-1.644432E-3
2.550000E-9	-1.692395E-3
2.600000E-9	-1.738644E-3
2.650000E-9	-1.769477E-3
2.700000E-9	-1.807162E-3
2.750000E-9	-1.826005E-3
2.800000E-9	-1.860264E-3
2.850000E-9	-1.880819E-3
2.900000E-9	-1.903088E-3
2.950000E-9	-1.887671E-3
3.000000E-9	-1.865403E-3
3.050000E-9	-1.826005E-3
3.100000E-9	-1.742070E-3
3.150000E-9	-1.608460E-3
3.200000E-9	-1.452582E-3
3.250000E-9	-1.276148E-3
3.300000E-9	-1.106566E-3
3.350000E-9	-9.575391E-4
3.400000E-9	-8.256419E-4
3.450000E-9	-7.725405E-4
3.500000E-9	-7.297167E-4
3.550000E-9	-7.348556E-4
3.600000E-9	-7.725405E-4
3.650000E-9	-8.444844E-4
3.700000E-9	-9.369837E-4
3.750000E-9	-1.067168E-3
3.800000E-9	-1.190500E-3
3.850000E-9	-1.305268E-3
3.900000E-9	-1.404619E-3
3.950000E-9	-1.447443E-3
4.000000E-9	-1.430313E-3
4.050000E-9	-1.397767E-3
4.100000E-9	-1.315546E-3
4.150000E-9	-1.209343E-3
4.200000E-9	-1.077446E-3
4.250000E-9	-9.695297E-4
4.300000E-9	-8.958729E-4
4.350000E-9	-8.170772E-4
