grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 3.9787416e+08 2558.6113 0.058705119 0.00080155973 9.0849993e-06 1.0904213e-07 1.7630073e-05 7.5126932e-07 0.015889573 9.8836117e-05 -2.9373308 0.0039572549 3.3636657e-08 2.5348797e-10 -3.2156007e-05 7.0037726e-05
0.91 5.887973 3.9787416e+08 2558.6113 0.058705194 0.00080154843 9.2880194e-06 1.1147633e-07 1.7630144e-05 7.512621e-07 0.015889573 9.8836121e-05 -2.9373307 0.0039572553 3.3636655e-08 2.5348796e-10 -3.2149553e-05 7.0039669e-05
0.92 5.952676 3.9787416e+08 2558.6113 0.058705268 0.0008015375 9.4932831e-06 1.1393743e-07 1.7630214e-05 7.5125508e-07 0.015889574 9.8836124e-05 -2.9373307 0.003957255 3.3636653e-08 2.5348795e-10 -3.2143202e-05 7.0041547e-05
0.93 6.017379 3.9787416e+08 2558.6113 0.058705332 0.00080152686 9.700789e-06 1.1642543e-07 1.7630276e-05 7.5124844e-07 0.015889574 9.8836127e-05 -2.9373307 0.0039572552 3.3636652e-08 2.5348794e-10 -3.213757e-05 7.0043376e-05
0.94 6.082082 3.9787416e+08 2558.6113 0.058705399 0.0008015166 9.910539e-06 1.1894033e-07 1.7630339e-05 7.5124192e-07 0.015889574 9.8836129e-05 -2.9373307 0.0039572551 3.363665e-08 2.5348793e-10 -3.2131768e-05 7.004514e-05
0.95 6.146785 3.9787416e+08 2558.6113 0.058705464 0.00080150667 1.0122532e-05 1.2148212e-07 1.7630401e-05 7.512356e-07 0.015889574 9.8836132e-05 -2.9373306 0.0039572553 3.3636649e-08 2.5348792e-10 -3.2126094e-05 7.0046848e-05
0.96 6.211488 3.9787416e+08 2558.6113 0.058709689 0.00080153389 1.0337339e-05 1.2404852e-07 1.763427e-05 7.5114197e-07 0.015889618 9.883622e-05 -2.93733 0.0039572479 3.3636608e-08 2.534871e-10 -3.1800623e-05 7.0042147e-05
0.97 6.276191 3.9787416e+08 2558.6113 0.058709741 0.00080152385 1.0553852e-05 1.2664389e-07 1.7634329e-05 7.5113485e-07 0.015889617 9.8834962e-05 -2.93733 0.0039572001 3.3637039e-08 2.5348769e-10 -3.1795904e-05 7.0043347e-05
0.98 6.340894 3.9787416e+08 2558.6113 0.058709794 0.00080151608 1.0772607e-05 1.2926647e-07 1.7634389e-05 7.5112973e-07 0.015889616 9.8834986e-05 -2.93733 0.0039572014 3.363703e-08 2.5348769e-10 -3.1791063e-05 7.0044694e-05
0.99 6.405597 3.9787416e+08 2558.6113 0.058709843 0.0008015082 1.0993595e-05 1.3191593e-07 1.763444e-05 7.5112492e-07 0.015889616 9.8835234e-05 -2.93733 0.0039572108 3.3636945e-08 2.5348758e-10 -3.1786679e-05 7.004615e-05
1 6.4703 3.9787416e+08 2558.6113 0.058709895 0.00080150027 1.1216822e-05 1.3459225e-07 1.7634491e-05 7.5112e-07 0.015889615 9.8835439e-05 -2.93733 0.0039572186 3.3636874e-08 2.5348748e-10 -3.1782042e-05 7.00476e-05
1.01 6.535003 3.9787416e+08 2558.6113 0.058709941 0.00080149233 1.144229e-05 1.3729545e-07 1.7634536e-05 7.5111519e-07 0.015889615 9.8835592e-05 -2.9373299 0.0039572245 3.3636821e-08 2.5348741e-10 -3.1777859e-05 7.0049028e-05
1.02 6.599706 3.9787416e+08 2558.6113 0.058709986 0.0008014845 1.1670001e-05 1.4002552e-07 1.763458e-05 7.5111044e-07 0.015889616 9.8835703e-05 -2.9373299 0.0039572291 3.3636782e-08 2.5348736e-10 -3.1773815e-05 7.0050419e-05
1.03 6.664409 3.9787416e+08 2558.6113 0.058710028 0.00080147682 1.1899954e-05 1.4278248e-07 1.7634621e-05 7.5110582e-07 0.015889616 9.8835788e-05 -2.9373299 0.003957232 3.3636753e-08 2.5348731e-10 -3.1769995e-05 7.0051775e-05
1.04 6.729112 3.9787416e+08 2558.6113 0.058710071 0.00080146934 1.2132151e-05 1.4556633e-07 1.7634662e-05 7.5110125e-07 0.015889616 9.8835853e-05 -2.9373299 0.0039572348 3.363673e-08 2.5348728e-10 -3.1766134e-05 7.0053088e-05
1.05 6.793815 3.9787416e+08 2558.6113 0.058710109 0.00080146201 1.236659e-05 1.4837708e-07 1.7634699e-05 7.5109687e-07 0.015889616 9.8835904e-05 -2.9373299 0.0039572367 3.3636712e-08 2.5348725e-10 -3.1762629e-05 7.005437e-05
1.06 6.858518 3.9787416e+08 2558.6113 0.058710149 0.00080145489 1.2603273e-05 1.5121472e-07 1.7634737e-05 7.5109254e-07 0.015889616 9.8835946e-05 -2.9373299 0.0039572382 3.3636698e-08 2.5348723e-10 -3.1759031e-05 7.0055611e-05
1.07 6.923221 3.9787415e+08 2558.6109 0.058710212 0.00080144836 1.2842204e-05 1.5407927e-07 1.7634797e-05 7.5108798e-07 0.015889616 9.8836004e-05 -2.9373284 0.0039572403 3.3636685e-08 2.5348727e-10 -3.1753932e-05 7.0056797e-05
1.08 6.987924 3.9787415e+08 2558.611 0.058710247 0.00080144157 1.3083373e-05 1.569707e-07 1.763483e-05 7.5108393e-07 0.015889616 9.8836031e-05 -2.9373285 0.0039572413 3.3636675e-08 2.5348725e-10 -3.1750754e-05 7.0057974e-05
1.09 7.052627 3.9787415e+08 2558.611 0.058710279 0.00080143494 1.3326786e-05 1.5988903e-07 1.7634861e-05 7.5108001e-07 0.015889616 9.8836054e-05 -2.9373285 0.0039572422 3.3636666e-08 2.5348723e-10 -3.1747767e-05 7.0059121e-05
1.1 7.11733 3.9787415e+08 2558.611 0.058710311 0.0008014285 1.3572442e-05 1.6283425e-07 1.7634891e-05 7.5107618e-07 0.015889616 9.8836074e-05 -2.9373285 0.0039572432 3.3636659e-08 2.5348722e-10 -3.1744805e-05 7.0060236e-05
