Study Name	Tungsten_Calibration
Sample Name	2021-12-13
Run Name	spot0
Operator	Ben/Eleni
Date	12/13/2021
Time	14:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:16:06
	
Time	Amplitude
0.000000E+0	3.682841E-4
5.000000E-11	4.350892E-4
1.000000E-10	5.310144E-4
1.500000E-10	6.115231E-4
2.000000E-10	6.492080E-4
2.500000E-10	6.629116E-4
3.000000E-10	6.457821E-4
3.500000E-10	6.115231E-4
4.000000E-10	5.532828E-4
4.500000E-10	4.813389E-4
5.000000E-10	3.785618E-4
5.500000E-10	3.151827E-4
6.000000E-10	2.637942E-4
6.500000E-10	2.106927E-4
7.000000E-10	1.730078E-4
7.500000E-10	1.250452E-4
8.000000E-10	1.267582E-4
8.500000E-10	1.644431E-4
9.000000E-10	1.781467E-4
9.500000E-10	2.124057E-4
1.000000E-9	2.535165E-4
1.050000E-9	3.237474E-4
1.100000E-9	3.819877E-4
1.150000E-9	4.196727E-4
1.200000E-9	5.310144E-4
1.250000E-9	6.355044E-4
1.300000E-9	7.057353E-4
1.350000E-9	7.519850E-4
1.400000E-9	7.999476E-4
1.450000E-9	8.342066E-4
1.500000E-9	8.496231E-4
1.550000E-9	8.205030E-4
1.600000E-9	7.622627E-4
1.650000E-9	6.903188E-4
1.700000E-9	5.704123E-4
1.750000E-9	4.779130E-4
1.800000E-9	3.854136E-4
1.850000E-9	3.117568E-4
1.900000E-9	2.329611E-4
1.950000E-9	1.575913E-4
2.000000E-9	9.078624E-5
2.050000E-9	-1.713062E-6
2.100000E-9	-1.301843E-4
2.150000E-9	-2.346743E-4
2.200000E-9	-3.408772E-4
2.250000E-9	-4.522189E-4
2.300000E-9	-5.138851E-4
2.350000E-9	-5.241628E-4
2.400000E-9	-5.155981E-4
2.450000E-9	-4.076822E-4
2.500000E-9	-2.826369E-4
2.550000E-9	-1.336102E-4
2.600000E-9	2.055529E-5
2.650000E-9	2.124057E-4
2.700000E-9	4.248115E-4
2.750000E-9	6.063842E-4
2.800000E-9	7.674015E-4
2.850000E-9	8.564749E-4
2.900000E-9	8.581879E-4
2.950000E-9	8.050864E-4
3.000000E-9	7.348555E-4
3.050000E-9	6.355044E-4
3.100000E-9	5.036072E-4
3.150000E-9	3.511546E-4
3.200000E-9	1.336100E-4
3.250000E-9	-6.337926E-5
3.300000E-9	-1.901376E-4
3.350000E-9	-3.443031E-4
3.400000E-9	-4.419412E-4
3.450000E-9	-4.864779E-4
3.500000E-9	-5.036074E-4
3.550000E-9	-5.275887E-4
3.600000E-9	-5.138851E-4
3.650000E-9	-4.693484E-4
3.700000E-9	-4.128211E-4
3.750000E-9	-3.905527E-4
3.800000E-9	-3.443031E-4
3.850000E-9	-3.049052E-4
3.900000E-9	-2.689333E-4
3.950000E-9	-2.603685E-4
4.000000E-9	-2.655074E-4
4.050000E-9	-2.004153E-4
4.100000E-9	-1.695822E-4
4.150000E-9	-1.318973E-4
4.200000E-9	-3.939796E-5
4.250000E-9	3.768479E-5
4.300000E-9	1.473136E-4
4.350000E-9	2.398129E-4
4.400000E-9	3.580064E-4
4.450000E-9	4.128209E-4
4.500000E-9	4.368022E-4
4.550000E-9	4.179597E-4
4.600000E-9	3.357381E-4
4.650000E-9	2.380999E-4
4.700000E-9	8.050854E-5
4.750000E-9	-9.935121E-5
4.800000E-9	-3.357383E-4
