Study Name	Tungsten_Calibration
Sample Name	2022-01-04
Run Name	spot0
Operator	Angus
Date	1/4/2022
Time	09:20
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	09:20:46
	
Time	Amplitude
0.000000E+0	-1.231613E-3
5.000000E-11	-1.214483E-3
1.000000E-10	-1.187076E-3
1.500000E-10	-1.164808E-3
2.000000E-10	-1.140826E-3
2.500000E-10	-1.118558E-3
3.000000E-10	-1.113419E-3
3.500000E-10	-1.133974E-3
4.000000E-10	-1.135687E-3
4.500000E-10	-1.130549E-3
5.000000E-10	-1.151104E-3
5.500000E-10	-1.175085E-3
6.000000E-10	-1.185363E-3
6.500000E-10	-1.159669E-3
7.000000E-10	-1.151104E-3
7.500000E-10	-1.116845E-3
8.000000E-10	-1.082586E-3
8.500000E-10	-1.012355E-3
9.000000E-10	-9.661053E-4
9.500000E-10	-8.975873E-4
1.000000E-9	-8.102269E-4
1.050000E-9	-7.639772E-4
1.100000E-9	-7.262923E-4
1.150000E-9	-7.057369E-4
1.200000E-9	-7.125887E-4
1.250000E-9	-6.731909E-4
1.300000E-9	-6.200894E-4
1.350000E-9	-5.669880E-4
1.400000E-9	-5.275901E-4
1.450000E-9	-4.864793E-4
1.500000E-9	-4.556462E-4
1.550000E-9	-4.453685E-4
1.600000E-9	-4.556462E-4
1.650000E-9	-4.779145E-4
1.700000E-9	-5.121735E-4
1.750000E-9	-5.687009E-4
1.800000E-9	-6.286542E-4
1.850000E-9	-6.543484E-4
1.900000E-9	-6.954592E-4
1.950000E-9	-7.793938E-4
2.000000E-9	-8.307823E-4
2.050000E-9	-8.633283E-4
2.100000E-9	-8.855967E-4
2.150000E-9	-9.232816E-4
2.200000E-9	-9.215686E-4
2.250000E-9	-9.301334E-4
2.300000E-9	-9.078650E-4
2.350000E-9	-8.324952E-4
2.400000E-9	-7.656902E-4
2.450000E-9	-7.331441E-4
2.500000E-9	-7.005981E-4
2.550000E-9	-6.817556E-4
2.600000E-9	-6.834686E-4
2.650000E-9	-6.800427E-4
2.700000E-9	-6.731909E-4
2.750000E-9	-6.971722E-4
2.800000E-9	-7.605513E-4
2.850000E-9	-8.068010E-4
2.900000E-9	-8.222175E-4
2.950000E-9	-8.718931E-4
3.000000E-9	-9.147168E-4
3.050000E-9	-8.993003E-4
3.100000E-9	-8.307823E-4
3.150000E-9	-7.622643E-4
3.200000E-9	-6.920333E-4
3.250000E-9	-6.132376E-4
3.300000E-9	-5.738398E-4
3.350000E-9	-5.053217E-4
3.400000E-9	-4.864793E-4
3.450000E-9	-5.001829E-4
3.500000E-9	-4.762016E-4
3.550000E-9	-5.190253E-4
3.600000E-9	-6.115247E-4
3.650000E-9	-6.817556E-4
3.700000E-9	-7.982362E-4
3.750000E-9	-9.421240E-4
3.800000E-9	-9.798089E-4
3.850000E-9	-9.849478E-4
3.900000E-9	-9.284204E-4
3.950000E-9	-8.050880E-4
4.000000E-9	-6.372189E-4
4.050000E-9	-4.899052E-4
4.100000E-9	-3.014807E-4
4.150000E-9	-1.678706E-4
4.200000E-9	-7.537129E-5
4.250000E-9	-2.912163E-5
4.300000E-9	-6.338064E-5
4.350000E-9	-1.747224E-4
4.400000E-9	-3.545821E-4
4.450000E-9	-5.464326E-4
4.500000E-9	-7.399959E-4
4.550000E-9	-9.078650E-4
4.600000E-9	-1.022633E-3
4.650000E-9	-1.075734E-3
4.700000E-9	-1.098002E-3
4.750000E-9	-1.067169E-3
4.800000E-9	-9.883737E-4
4.850000E-9	-8.599024E-4
4.900000E-9	-7.143017E-4
4.950000E-9	-5.858304E-4
5.000000E-9	-5.087476E-4
5.050000E-9	-4.248131E-4
5.100000E-9	-3.956929E-4
5.150000E-9	-4.368037E-4
5.200000E-9	-4.933311E-4
5.250000E-9	-5.772657E-4
5.300000E-9	-6.868945E-4
5.350000E-9	-7.708290E-4
5.400000E-9	-9.164298E-4
5.450000E-9	-9.917996E-4
5.500000E-9	-1.101428E-3
5.550000E-9	-1.140826E-3
5.600000E-9	-1.173372E-3
5.650000E-9	-1.200779E-3
5.700000E-9	-1.245316E-3
5.750000E-9	-1.252168E-3
5.800000E-9	-1.286427E-3
5.850000E-9	-1.324112E-3
5.900000E-9	-1.361797E-3
5.950000E-9	-1.378926E-3
6.000000E-9	-1.406333E-3
6.050000E-9	-1.402908E-3
6.100000E-9	-1.390917E-3
6.150000E-9	-1.385778E-3
6.200000E-9	-1.368649E-3
6.250000E-9	-1.341241E-3
6.300000E-9	-1.310408E-3
6.350000E-9	-1.284714E-3
6.400000E-9	-1.235038E-3
6.450000E-9	-1.205918E-3
6.500000E-9	-1.195641E-3
6.550000E-9	-1.163095E-3
6.600000E-9	-1.137400E-3
6.650000E-9	-1.127123E-3
6.700000E-9	-1.125410E-3
6.750000E-9	-1.193928E-3
6.800000E-9	-1.228187E-3
6.850000E-9	-1.229900E-3
6.900000E-9	-1.294992E-3
6.950000E-9	-1.390917E-3
7.000000E-9	-1.491981E-3
7.050000E-9	-1.630730E-3
7.100000E-9	-1.798599E-3
7.150000E-9	-2.022995E-3
7.200000E-9	-2.307345E-3
7.250000E-9	-2.644796E-3
7.300000E-9	-3.009655E-3
7.350000E-9	-3.374513E-3
7.400000E-9	-3.723955E-3
7.450000E-9	-3.999740E-3
7.500000E-9	-4.126498E-3
7.550000E-9	-4.123072E-3
7.600000E-9	-3.835297E-3
7.650000E-9	-3.230625E-3
7.700000E-9	-2.279938E-3
7.750000E-9	-1.019207E-3
7.800000E-9	5.190224E-4
7.850000E-9	2.353592E-3
7.900000E-9	4.443391E-3
7.950000E-9	6.695920E-3
8.000000E-9	8.998125E-3
8.050000E-9	1.133630E-2
8.100000E-9	1.360082E-2
8.150000E-9	1.571460E-2
8.200000E-9	1.765709E-2
8.250000E-9	1.941800E-2
8.300000E-9	2.100933E-2
8.350000E-9	2.248418E-2
8.400000E-9	2.379801E-2
8.450000E-9	2.510671E-2
8.500000E-9	2.636401E-2
8.550000E-9	2.756822E-2
8.600000E-9	2.879640E-2
8.650000E-9	2.993209E-2
8.700000E-9	3.098213E-2
8.750000E-9	3.190369E-2
8.800000E-9	3.264369E-2
8.850000E-9	3.318498E-2
8.900000E-9	3.350016E-2
8.950000E-9	3.347618E-2
9.000000E-9	3.305480E-2
9.050000E-9	3.227712E-2
9.100000E-9	3.113115E-2
9.150000E-9	2.963232E-2
9.200000E-9	2.784400E-2
9.250000E-9	2.586726E-2
9.300000E-9	2.378945E-2
9.350000E-9	2.167909E-2
9.400000E-9	1.964411E-2
9.450000E-9	1.785750E-2
9.500000E-9	1.630557E-2
9.550000E-9	1.505340E-2
9.600000E-9	1.399651E-2
9.650000E-9	1.326337E-2
9.700000E-9	1.278032E-2
9.750000E-9	1.246342E-2
9.800000E-9	1.229555E-2
9.850000E-9	1.223046E-2
9.900000E-9	1.224074E-2
9.950000E-9	1.234694E-2
1.000000E-8	1.246514E-2
1.005000E-8	1.251995E-2
1.010000E-8	1.266726E-2
1.015000E-8	1.282999E-2
1.020000E-8	1.309550E-2
1.025000E-8	1.341068E-2
1.030000E-8	1.380466E-2
1.035000E-8	1.431855E-2
1.040000E-8	1.490266E-2
1.045000E-8	1.561354E-2
1.050000E-8	1.636724E-2
1.055000E-8	1.716890E-2
1.060000E-8	1.802366E-2
1.065000E-8	1.887328E-2
1.070000E-8	1.971434E-2
1.075000E-8	2.054170E-2
1.080000E-8	2.134164E-2
1.085000E-8	2.208506E-2
1.090000E-8	2.278566E-2
1.095000E-8	2.344001E-2
1.100000E-8	2.404639E-2
1.105000E-8	2.463907E-2
1.110000E-8	2.520777E-2
1.115000E-8	2.570795E-2
1.120000E-8	2.617730E-2
1.125000E-8	2.659869E-2
1.130000E-8	2.695841E-2
1.135000E-8	2.719308E-2
1.140000E-8	2.729928E-2
1.145000E-8	2.727016E-2
1.150000E-8	2.710572E-2
1.155000E-8	2.679910E-2
1.160000E-8	2.633489E-2
1.165000E-8	2.574050E-2
1.170000E-8	2.501935E-2
1.175000E-8	2.418514E-2
1.180000E-8	2.330982E-2
1.185000E-8	2.243964E-2
1.190000E-8	2.145984E-2
1.195000E-8	2.041322E-2
1.200000E-8	1.933749E-2
1.205000E-8	1.825319E-2
1.210000E-8	1.716890E-2
1.215000E-8	1.614627E-2
