Study Name	Tungsten_Calibration
Sample Name	2022-01-05
Run Name	spot0
Operator	Ben/Angus
Date	1/5/2022
Time	12:10
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:10:35
	
Time	Amplitude
0.000000E+0	-9.643894E-4
5.000000E-11	-9.558246E-4
1.000000E-10	-9.267045E-4
1.500000E-10	-9.010102E-4
2.000000E-10	-8.427699E-4
2.500000E-10	-8.067980E-4
3.000000E-10	-7.605483E-4
3.500000E-10	-7.228634E-4
4.000000E-10	-7.091598E-4
4.500000E-10	-7.108728E-4
5.000000E-10	-7.108728E-4
5.500000E-10	-7.434188E-4
6.000000E-10	-7.639742E-4
6.500000E-10	-7.691131E-4
7.000000E-10	-7.930944E-4
7.500000E-10	-8.102239E-4
8.000000E-10	-8.102239E-4
8.500000E-10	-8.222145E-4
9.000000E-10	-8.290663E-4
9.500000E-10	-8.427699E-4
1.000000E-9	-8.753160E-4
1.050000E-9	-8.975843E-4
1.100000E-9	-9.284174E-4
1.150000E-9	-9.404081E-4
1.200000E-9	-9.712412E-4
1.250000E-9	-9.935095E-4
1.300000E-9	-1.014065E-3
1.350000E-9	-1.027769E-3
1.400000E-9	-1.031194E-3
1.450000E-9	-9.986484E-4
1.500000E-9	-9.712412E-4
1.550000E-9	-9.489728E-4
1.600000E-9	-8.975843E-4
1.650000E-9	-8.547606E-4
1.700000E-9	-8.033721E-4
1.750000E-9	-7.622613E-4
1.800000E-9	-7.382800E-4
1.850000E-9	-7.160116E-4
1.900000E-9	-7.108728E-4
1.950000E-9	-6.851785E-4
2.000000E-9	-6.903174E-4
2.050000E-9	-6.886044E-4
2.100000E-9	-6.817526E-4
2.150000E-9	-6.749008E-4
2.200000E-9	-6.680490E-4
2.250000E-9	-6.663361E-4
2.300000E-9	-6.560584E-4
2.350000E-9	-6.577713E-4
2.400000E-9	-6.749008E-4
2.450000E-9	-6.988821E-4
2.500000E-9	-7.177246E-4
2.550000E-9	-7.417059E-4
2.600000E-9	-7.793908E-4
2.650000E-9	-7.982332E-4
2.700000E-9	-7.862426E-4
2.750000E-9	-7.811037E-4
2.800000E-9	-7.759649E-4
2.850000E-9	-7.536965E-4
2.900000E-9	-7.280023E-4
2.950000E-9	-6.697620E-4
3.000000E-9	-5.943922E-4
3.050000E-9	-5.207353E-4
3.100000E-9	-4.539303E-4
3.150000E-9	-3.614310E-4
3.200000E-9	-2.757835E-4
3.250000E-9	-1.969878E-4
3.300000E-9	-1.404604E-4
3.350000E-9	-8.050717E-5
3.400000E-9	-2.569277E-5
3.450000E-9	-2.740572E-5
3.500000E-9	-4.453522E-5
3.550000E-9	-7.194242E-5
3.600000E-9	-1.147662E-4
3.650000E-9	-2.106914E-4
3.700000E-9	-3.117554E-4
3.750000E-9	-3.888382E-4
3.800000E-9	-4.556432E-4
3.850000E-9	-5.258742E-4
3.900000E-9	-5.892533E-4
3.950000E-9	-6.149476E-4
4.000000E-9	-6.372159E-4
4.050000E-9	-6.029569E-4
4.100000E-9	-5.824015E-4
4.150000E-9	-5.584202E-4
4.200000E-9	-5.293001E-4
4.250000E-9	-4.761986E-4
4.300000E-9	-4.590691E-4
4.350000E-9	-4.368008E-4
4.400000E-9	-4.213842E-4
4.450000E-9	-4.265231E-4
4.500000E-9	-4.659209E-4
4.550000E-9	-4.813375E-4
4.600000E-9	-5.293001E-4
4.650000E-9	-5.652720E-4
4.700000E-9	-5.943922E-4
4.750000E-9	-6.080958E-4
4.800000E-9	-5.978181E-4
4.850000E-9	-5.841145E-4
4.900000E-9	-5.704109E-4
4.950000E-9	-5.481425E-4
5.000000E-9	-5.310130E-4
5.050000E-9	-4.984670E-4
5.100000E-9	-4.522173E-4
5.150000E-9	-4.265231E-4
5.200000E-9	-3.905511E-4
5.250000E-9	-3.580051E-4
5.300000E-9	-3.168943E-4
5.350000E-9	-2.672187E-4
5.400000E-9	-2.278209E-4
5.450000E-9	-1.849971E-4
5.500000E-9	-1.678676E-4
5.550000E-9	-1.318957E-4
5.600000E-9	-1.164791E-4
5.650000E-9	-1.062014E-4
5.700000E-9	-1.336086E-4
5.750000E-9	-1.336086E-4
5.800000E-9	-1.627288E-4
5.850000E-9	-1.781453E-4
5.900000E-9	-2.261079E-4
5.950000E-9	-2.483763E-4
6.000000E-9	-2.757835E-4
6.050000E-9	-2.894871E-4
6.100000E-9	-3.237461E-4
6.150000E-9	-3.580051E-4
6.200000E-9	-3.819864E-4
6.250000E-9	-4.162454E-4
6.300000E-9	-4.573562E-4
6.350000E-9	-5.361519E-4
6.400000E-9	-6.406418E-4
6.450000E-9	-7.691131E-4
6.500000E-9	-9.078620E-4
6.550000E-9	-1.104851E-3
6.600000E-9	-1.341238E-3
6.650000E-9	-1.584477E-3
6.700000E-9	-1.865401E-3
6.750000E-9	-2.201139E-3
6.800000E-9	-2.572849E-3
6.850000E-9	-2.978819E-3
6.900000E-9	-3.437889E-3
6.950000E-9	-3.915802E-3
7.000000E-9	-4.426261E-3
7.050000E-9	-4.950424E-3
7.100000E-9	-5.490003E-3
7.150000E-9	-5.997037E-3
7.200000E-9	-6.469811E-3
7.250000E-9	-6.916891E-3
7.300000E-9	-7.298879E-3
7.350000E-9	-7.660311E-3
7.400000E-9	-7.968642E-3
7.450000E-9	-8.246140E-3
7.500000E-9	-8.521925E-3
7.550000E-9	-8.787432E-3
7.600000E-9	-9.027245E-3
7.650000E-9	-9.285901E-3
7.700000E-9	-9.535991E-3
7.750000E-9	-9.780943E-3
7.800000E-9	-9.983071E-3
7.850000E-9	-1.015779E-2
7.900000E-9	-1.027770E-2
7.950000E-9	-1.033251E-2
8.000000E-9	-1.029483E-2
8.050000E-9	-1.015951E-2
8.100000E-9	-9.959090E-3
8.150000E-9	-9.676453E-3
8.200000E-9	-9.320160E-3
8.250000E-9	-8.946737E-3
8.300000E-9	-8.544193E-3
8.350000E-9	-8.138224E-3
8.400000E-9	-7.728829E-3
8.450000E-9	-7.350267E-3
8.500000E-9	-7.017955E-3
8.550000E-9	-6.671939E-3
8.600000E-9	-6.353330E-3
8.650000E-9	-6.034722E-3
8.700000E-9	-5.709261E-3
8.750000E-9	-5.371810E-3
8.800000E-9	-5.039498E-3
8.850000E-9	-4.698621E-3
8.900000E-9	-4.366308E-3
8.950000E-9	-4.056264E-3
9.000000E-9	-3.765063E-3
9.050000E-9	-3.542379E-3
9.100000E-9	-3.389927E-3
9.150000E-9	-3.319696E-3
9.200000E-9	-3.328260E-3
9.250000E-9	-3.437889E-3
9.300000E-9	-3.640017E-3
9.350000E-9	-3.903812E-3
9.400000E-9	-4.249828E-3
9.450000E-9	-4.607834E-3
9.500000E-9	-4.955563E-3
9.550000E-9	-5.296440E-3
9.600000E-9	-5.609910E-3
9.650000E-9	-5.887408E-3
9.700000E-9	-6.087823E-3
9.750000E-9	-6.259118E-3
9.800000E-9	-6.397867E-3
9.850000E-9	-6.502357E-3
9.900000E-9	-6.598282E-3
9.950000E-9	-6.706198E-3
1.000000E-8	-6.829530E-3
1.005000E-8	-6.963140E-3
1.010000E-8	-7.131010E-3
1.015000E-8	-7.326286E-3
1.020000E-8	-7.536979E-3
1.025000E-8	-7.744246E-3
1.030000E-8	-7.936096E-3
1.035000E-8	-8.109104E-3
1.040000E-8	-8.247853E-3
1.045000E-8	-8.336926E-3
1.050000E-8	-8.369472E-3
1.055000E-8	-8.318084E-3
1.060000E-8	-8.203316E-3
1.065000E-8	-7.992623E-3
1.070000E-8	-7.730542E-3
1.075000E-8	-7.415359E-3
1.080000E-8	-7.064205E-3
1.085000E-8	-6.658235E-3
1.090000E-8	-6.236850E-3
1.095000E-8	-5.813751E-3
1.100000E-8	-5.373523E-3
1.105000E-8	-4.958989E-3
1.110000E-8	-4.558159E-3
1.115000E-8	-4.193300E-3
