grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
5.225 7.1490161e+08 2012.9557 0.97138174 0.17188134 0.00015952034 4.7218097e-06 2.509099e-05 3.9767039e-07 0.0091099145 8.7149828e-05 -1.0726111 0.0064480985 3.3189594e-08 4.1655049e-10 0.00065454531 1.1119178e-05
5.2968 7.1526589e+08 2340.2249 0.95238314 0.17230728 0.00015719407 4.262518e-06 2.4554676e-05 6.1871844e-07 0.0090513075 9.0902437e-05 -2.6601792 0.0067109806 2.9712232e-08 3.8236184e-10 1.8891727e-05 1.0544218e-05
5.0289 7.1338604e+08 1495.8015 0.0048656042 0.00012422571 5.8473327e-06 NaN 6.775566e-12 NaN 0.0089959678 0.00017460534 -0.091996479 0.01322161 3.2043525e-08 8.2211787e-10 0.00069652046 3.6507849e-05
5.8382 4.5662738e+08 2689.898 0.095277006 0.017122116 5.8541716e-05 1.649461e-06 8.453488e-06 6.05934e-06 0.010915529 0.00013527841 -2.7757924 0.0080979225 4.4544296e-08 7.18794e-10 0.00040749804 2.273666e-05
5.8371 4.5671763e+08 2848.333 0.27697242 0.018528224 7.0358285e-05 1.1271104e-06 3.16201e-05 5.5848891e-07 0.020436517 0.00013156931 -2.5253268 0.0041682736 2.9440686e-08 2.3270691e-10 0.00026279935 1.5787701e-05
5.8309 4.5719958e+08 3113.4166 0.095146755 0.018550306 6.0291247e-05 1.9426587e-06 1.2275021e-05 5.7306808e-06 0.010865204 0.0001377739 -2.5776731 0.0082932414 4.5309002e-08 7.5140341e-10 2.7452374e-05 2.3319493e-05
6.4742 4.1177245e+08 2972.5588 0.090411938 0.019154752 7.3385247e-05 2.0237253e-06 4.8667657e-06 8.0797943e-06 0.0084710599 0.00012421227 2.6036801 0.0093632819 4.0948433e-08 7.512547e-10 -0.00040054302 1.8846876e-05
6.4832 4.1120356e+08 3909.5741 0.23039159 0.01934129 7.5334606e-05 1.1222668e-06 2.2851506e-05 1.6799177e-06 0.020705185 0.00017388539 2.6463727 0.0052505373 2.4905399e-08 2.3788623e-10 -0.00079055692 1.7431069e-05
6.4587 4.1276254e+08 2881.6784 0.13043546 0.021918536 6.2679989e-05 1.8855694e-06 1.3344951e-05 5.2312839e-06 0.011385435 0.00020110785 -1.7501748 0.011482387 4.7720808e-08 1.0992246e-09 0.00052715206 3.608947e-05
7.0421 3.7856663e+08 2858.5836 0.13141976 0.010000797 6.2031441e-05 9.866562e-07 1.8633408e-05 2.2178788e-06 0.025504411 0.00016332852 -1.7987551 0.004061564 3.156508e-08 2.4142281e-10 0.00066151444 2.2316346e-05
7.0282 3.7930427e+08 2784.7841 0.09437541 0.015594838 6.222983e-05 1.6611412e-06 4.2325221e-06 7.251275e-06 0.01074424 0.00015985238 -3.0699437 0.0094593406 5.2694799e-08 1.016456e-09 0.00025344969 3.1243423e-05
7.0426 3.7853753e+08 3129.5276 0.10537415 0.0094934062 6.2010799e-05 9.638871e-07 8.6923828e-06 3.5638128e-06 0.020257991 0.00014813904 -3.0886604 0.0045751598 3.081275e-08 2.6363097e-10 0.00076604183 1.9336596e-05
7.6541 3.4829496e+08 2899.1333 0.24144751 0.012142563 6.3957199e-05 7.5211778e-07 2.3275907e-05 1.3692534e-06 0.035305024 0.0002471918 -1.961494 0.0043367814 3.028705e-08 2.4523055e-10 0.00086719899 3.3305977e-05
7.667 3.4771188e+08 2643.4327 0.32983718 0.01335517 6.8045595e-05 7.4119739e-07 3.2412098e-05 6.9433646e-07 0.037576966 0.00024689283 -1.2978233 0.0041012958 3.0378392e-08 2.3265531e-10 0.00084364517 3.2865071e-05
7.6535 3.4832236e+08 2920.2006 0.22597543 0.012146253 6.5291833e-05 7.5250046e-07 1.9707347e-05 1.6483108e-06 0.032938638 0.00023587349 -2.233647 0.004426309 2.9597343e-08 2.4265708e-10 0.00077574381 3.0609513e-05
9.5139 2.8020916e+08 3043.2087 0.31250646 0.010217826 7.2694501e-05 7.3309418e-07 3.4849454e-05 7.2228731e-07 0.041392497 0.00032670207 -0.63025563 0.0047089637 2.8734341e-08 2.460132e-10 0.00042080484 4.7226059e-05
9.5135 2.7969152e+08 3390.7576 0.29985823 0.010509763 7.1176829e-05 7.2514971e-07 3.2005825e-05 9.0079688e-07 0.041157401 0.00033916159 -1.3584516 0.004882646 2.8245146e-08 2.4771428e-10 0.0010737442 4.8020031e-05
9.5195 2.8004405e+08 3082.0135 0.28650583 0.010611205 8.1001896e-05 8.3847819e-07 3.4434726e-05 7.8143352e-07 0.041453024 0.00028956122 -1.2217836 0.0041115028 2.7089729e-08 1.9972587e-10 -0.00018806501 3.5903178e-05
