Study Name	V_single_crystal
Sample Name	0dpa
Run Name	85degreesSpot3
Operator	Angus Wylie
Date	8/5/2019
Time	14:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:32:21
	
Time	Amplitude
0.000000E+0	1.370360E-4
5.000000E-11	7.879570E-5
1.000000E-10	1.027770E-5
1.500000E-10	-6.509210E-5
2.000000E-10	-1.284713E-4
2.500000E-10	-1.695821E-4
3.000000E-10	-1.987022E-4
3.500000E-10	-2.312483E-4
4.000000E-10	-2.620814E-4
4.500000E-10	-2.637943E-4
5.000000E-10	-2.483778E-4
5.500000E-10	-2.432389E-4
6.000000E-10	-2.261094E-4
6.500000E-10	-1.798598E-4
7.000000E-10	-1.164806E-4
7.500000E-10	-3.939785E-5
8.000000E-10	4.282375E-5
8.500000E-10	1.250454E-4
9.000000E-10	2.124058E-4
9.500000E-10	3.066181E-4
1.000000E-9	3.888397E-4
1.050000E-9	4.556447E-4
1.100000E-9	4.899037E-4
1.150000E-9	4.864778E-4
1.200000E-9	4.590706E-4
1.250000E-9	4.093951E-4
1.300000E-9	3.254605E-4
1.350000E-9	2.209706E-4
1.400000E-9	1.147677E-4
1.450000E-9	1.370360E-5
1.500000E-9	-7.194390E-5
1.550000E-9	-1.421749E-4
1.600000E-9	-1.935634E-4
1.650000E-9	-2.243965E-4
1.700000E-9	-2.158317E-4
1.750000E-9	-1.627303E-4
1.800000E-9	-8.222160E-5
1.850000E-9	1.199065E-5
1.900000E-9	1.113418E-4
1.950000E-9	2.124058E-4
2.000000E-9	2.980533E-4
2.050000E-9	3.271735E-4
2.100000E-9	3.100440E-4
2.150000E-9	2.723591E-4
2.200000E-9	1.969893E-4
2.250000E-9	9.078635E-5
2.300000E-9	1.712950E-6
2.350000E-9	-7.194390E-5
2.400000E-9	-1.336101E-4
2.450000E-9	-1.404619E-4
2.500000E-9	-1.010641E-4
2.550000E-9	-4.967555E-5
2.600000E-9	2.569425E-5
2.650000E-9	1.541655E-4
2.700000E-9	2.877756E-4
2.750000E-9	3.854138E-4
2.800000E-9	4.556447E-4
2.850000E-9	5.053203E-4
2.900000E-9	5.001814E-4
2.950000E-9	4.419411E-4
3.000000E-9	3.477289E-4
3.050000E-9	2.261094E-4
3.100000E-9	8.564750E-5
