Study Name	V_single_crystal
Sample Name	2019-08-15
Run Name	1stIrr45degspot03
Operator	Angus Wylie
Date	8/15/2019
Time	14:54
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:56:34
	
Time	Amplitude
0.000000E+0	-4.333764E-4
5.000000E-11	-3.802749E-4
1.000000E-10	-3.066181E-4
1.500000E-10	-2.209706E-4
2.000000E-10	-1.593044E-4
2.500000E-10	-1.164806E-4
3.000000E-10	-6.337915E-5
3.500000E-10	-2.912015E-5
4.000000E-10	-3.768490E-5
4.500000E-10	-4.796260E-5
5.000000E-10	-4.796260E-5
5.500000E-10	-5.481440E-5
6.000000E-10	-5.138850E-5
6.500000E-10	-2.398130E-5
7.000000E-10	-6.851800E-6
7.500000E-10	-8.564750E-6
8.000000E-10	-6.851800E-6
8.500000E-10	-1.027770E-5
9.000000E-10	-3.083310E-5
9.500000E-10	-5.310145E-5
1.000000E-9	-7.536980E-5
1.050000E-9	-1.062029E-4
1.100000E-9	-1.387490E-4
1.150000E-9	-1.712950E-4
1.200000E-9	-2.226835E-4
1.250000E-9	-2.809238E-4
1.300000E-9	-3.168958E-4
1.350000E-9	-3.443030E-4
1.400000E-9	-3.802749E-4
1.450000E-9	-3.939785E-4
1.500000E-9	-3.717102E-4
1.550000E-9	-3.477289E-4
1.600000E-9	-3.203217E-4
1.650000E-9	-2.792109E-4
1.700000E-9	-2.346742E-4
1.750000E-9	-2.004152E-4
1.800000E-9	-1.541655E-4
1.850000E-9	-9.763815E-5
1.900000E-9	-3.597195E-5
1.950000E-9	1.027770E-5
2.000000E-9	2.226835E-5
2.050000E-9	3.597195E-5
2.100000E-9	5.995325E-5
2.150000E-9	7.536980E-5
2.200000E-9	8.222160E-5
2.250000E-9	1.079159E-4
2.300000E-9	1.370360E-4
2.350000E-9	1.490267E-4
2.400000E-9	1.610173E-4
2.450000E-9	1.969893E-4
2.500000E-9	2.329612E-4
2.550000E-9	2.518037E-4
2.600000E-9	2.706461E-4
2.650000E-9	3.083310E-4
2.700000E-9	3.460159E-4
2.750000E-9	3.699972E-4
2.800000E-9	3.837008E-4
2.850000E-9	3.785620E-4
2.900000E-9	3.408771E-4
2.950000E-9	2.912015E-4
3.000000E-9	2.295353E-4
3.050000E-9	1.575914E-4
3.100000E-9	7.365685E-5
3.150000E-9	-1.712950E-5
3.200000E-9	-1.267583E-4
3.250000E-9	-2.432389E-4
3.300000E-9	-3.443030E-4
3.350000E-9	-4.213857E-4
3.400000E-9	-4.864778E-4
3.450000E-9	-5.293016E-4
3.500000E-9	-5.378663E-4
3.550000E-9	-5.207368E-4
3.600000E-9	-5.036073E-4
3.650000E-9	-4.847649E-4
3.700000E-9	-4.522188E-4
3.750000E-9	-4.128210E-4
3.800000E-9	-3.888397E-4
3.850000E-9	-3.751361E-4
3.900000E-9	-3.580066E-4
3.950000E-9	-3.477289E-4
4.000000E-9	-3.648584E-4
4.050000E-9	-3.819879E-4
4.100000E-9	-3.974044E-4
4.150000E-9	-4.368023E-4
4.200000E-9	-4.693483E-4
4.250000E-9	-4.590706E-4
4.300000E-9	-4.402282E-4
4.350000E-9	-4.265246E-4
4.400000E-9	-3.819879E-4
4.450000E-9	-3.288864E-4
4.500000E-9	-3.031922E-4
4.550000E-9	-2.826368E-4
4.600000E-9	-2.535166E-4
4.650000E-9	-2.243965E-4
4.700000E-9	-2.072670E-4
4.750000E-9	-2.072670E-4
4.800000E-9	-2.243965E-4
4.850000E-9	-2.466648E-4
4.900000E-9	-2.637943E-4
4.950000E-9	-2.637943E-4
5.000000E-9	-2.466648E-4
5.050000E-9	-2.209706E-4
5.100000E-9	-1.849986E-4
5.150000E-9	-1.267583E-4
5.200000E-9	-5.310145E-5
5.250000E-9	2.569425E-5
5.300000E-9	8.050865E-5
5.350000E-9	1.113418E-4
5.400000E-9	1.301842E-4
5.450000E-9	1.456008E-4
5.500000E-9	1.490267E-4
5.550000E-9	1.524526E-4
5.600000E-9	1.318972E-4
5.650000E-9	8.393455E-5
5.700000E-9	3.768490E-5
5.750000E-9	-1.712950E-6
5.800000E-9	-4.967555E-5
5.850000E-9	-9.421225E-5
5.900000E-9	-1.181936E-4
5.950000E-9	-1.318972E-4
6.000000E-9	-1.404619E-4
6.050000E-9	-1.267583E-4
6.100000E-9	-9.763815E-5
6.150000E-9	-7.365685E-5
6.200000E-9	-4.624965E-5
6.250000E-9	-5.138850E-6
6.300000E-9	5.481440E-5
6.350000E-9	1.336101E-4
6.400000E-9	2.175447E-4
6.450000E-9	2.929145E-4
6.500000E-9	3.648584E-4
6.550000E-9	4.230987E-4
6.600000E-9	4.607836E-4
6.650000E-9	5.138850E-4
6.700000E-9	5.909678E-4
6.750000E-9	6.594858E-4
6.800000E-9	7.280038E-4
6.850000E-9	8.307808E-4
6.900000E-9	9.352707E-4
6.950000E-9	1.056890E-3
7.000000E-9	1.259018E-3
7.050000E-9	1.574201E-3
7.100000E-9	2.029846E-3
7.150000E-9	2.711600E-3
7.200000E-9	3.701685E-3
7.250000E-9	5.042925E-3
7.300000E-9	6.757588E-3
7.350000E-9	8.864517E-3
7.400000E-9	1.137570E-2
7.450000E-9	1.427059E-2
7.500000E-9	1.747209E-2
7.550000E-9	2.086202E-2
7.600000E-9	2.431533E-2
7.650000E-9	2.769155E-2
7.700000E-9	3.085023E-2
7.750000E-9	3.365947E-2
7.800000E-9	3.602848E-2
7.850000E-9	3.790416E-2
7.900000E-9	3.925910E-2
7.950000E-9	4.011729E-2
8.000000E-9	4.056437E-2
8.050000E-9	4.069284E-2
8.100000E-9	4.059349E-2
8.150000E-9	4.038108E-2
8.200000E-9	4.019095E-2
8.250000E-9	4.012414E-2
8.300000E-9	4.023720E-2
8.350000E-9	4.055923E-2
8.400000E-9	4.108511E-2
8.450000E-9	4.176344E-2
8.500000E-9	4.253255E-2
8.550000E-9	4.333764E-2
8.600000E-9	4.411874E-2
8.650000E-9	4.478508E-2
8.700000E-9	4.526984E-2
