Study Name	V_single_crystal
Sample Name	2019-08-15
Run Name	1stIrr45degspot08
Operator	Angus Wylie
Date	8/15/2019
Time	15:07
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:09:06
	
Time	Amplitude
0.000000E+0	-7.451333E-4
5.000000E-11	-7.691146E-4
1.000000E-10	-7.845311E-4
1.500000E-10	-7.793923E-4
2.000000E-10	-7.622628E-4
2.500000E-10	-7.434203E-4
3.000000E-10	-7.245779E-4
3.500000E-10	-6.937448E-4
4.000000E-10	-6.509210E-4
4.500000E-10	-6.115232E-4
5.000000E-10	-5.789771E-4
5.500000E-10	-5.464311E-4
6.000000E-10	-5.070332E-4
6.500000E-10	-4.624965E-4
7.000000E-10	-4.385152E-4
7.500000E-10	-4.282375E-4
8.000000E-10	-4.128210E-4
8.500000E-10	-4.025433E-4
9.000000E-10	-4.128210E-4
9.500000E-10	-4.385152E-4
1.000000E-9	-4.779131E-4
1.050000E-9	-5.224498E-4
1.100000E-9	-5.669865E-4
1.150000E-9	-6.063843E-4
1.200000E-9	-6.389304E-4
1.250000E-9	-6.663376E-4
1.300000E-9	-6.971707E-4
1.350000E-9	-7.160131E-4
1.400000E-9	-7.074484E-4
1.450000E-9	-6.868930E-4
1.500000E-9	-6.697635E-4
1.550000E-9	-6.320786E-4
1.600000E-9	-5.789771E-4
1.650000E-9	-5.378663E-4
1.700000E-9	-5.138850E-4
1.750000E-9	-4.933296E-4
1.800000E-9	-4.847649E-4
1.850000E-9	-5.001814E-4
1.900000E-9	-5.293016E-4
1.950000E-9	-5.601347E-4
2.000000E-9	-5.892548E-4
2.050000E-9	-6.149491E-4
2.100000E-9	-6.320786E-4
2.150000E-9	-6.406433E-4
2.200000E-9	-6.474951E-4
2.250000E-9	-6.406433E-4
2.300000E-9	-6.115232E-4
2.350000E-9	-5.755512E-4
2.400000E-9	-5.498570E-4
2.450000E-9	-5.241627E-4
2.500000E-9	-5.018944E-4
2.550000E-9	-4.950426E-4
2.600000E-9	-5.053203E-4
