Study Name	V_single_crystal
Sample Name	2019-08-18
Run Name	6.0403e-7C45degSpot01
Operator	Angus Wylie
Date	8/18/2019
Time	17:26
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:28:38
	
Time	Amplitude
0.000000E+0	-1.421749E-4
5.000000E-11	-1.353231E-4
1.000000E-10	-1.353231E-4
1.500000E-10	-1.490267E-4
2.000000E-10	-1.644432E-4
2.500000E-10	-1.747209E-4
3.000000E-10	-1.867116E-4
3.500000E-10	-1.969893E-4
4.000000E-10	-2.055540E-4
4.500000E-10	-2.175447E-4
5.000000E-10	-2.329612E-4
5.500000E-10	-2.329612E-4
6.000000E-10	-2.106929E-4
6.500000E-10	-1.884245E-4
7.000000E-10	-1.730080E-4
7.500000E-10	-1.438878E-4
8.000000E-10	-1.027770E-4
8.500000E-10	-6.851800E-5
9.000000E-10	-4.282375E-5
9.500000E-10	-2.226835E-5
1.000000E-9	-8.564750E-6
1.050000E-9	-1.027770E-5
1.100000E-9	-3.254605E-5
1.150000E-9	-6.851800E-5
1.200000E-9	-1.130547E-4
1.250000E-9	-1.712950E-4
1.300000E-9	-2.381001E-4
1.350000E-9	-3.014792E-4
1.400000E-9	-3.631454E-4
1.450000E-9	-4.299505E-4
1.500000E-9	-4.864778E-4
1.550000E-9	-5.293016E-4
1.600000E-9	-5.721253E-4
1.650000E-9	-6.149491E-4
1.700000E-9	-6.492081E-4
1.750000E-9	-6.731894E-4
1.800000E-9	-6.886059E-4
1.850000E-9	-6.903189E-4
1.900000E-9	-6.680505E-4
1.950000E-9	-6.269397E-4
2.000000E-9	-5.806901E-4
2.050000E-9	-5.310145E-4
2.100000E-9	-4.762001E-4
2.150000E-9	-4.145339E-4
2.200000E-9	-3.528677E-4
2.250000E-9	-3.083310E-4
2.300000E-9	-2.929145E-4
2.350000E-9	-2.912015E-4
2.400000E-9	-2.860627E-4
2.450000E-9	-2.929145E-4
2.500000E-9	-3.117569E-4
2.550000E-9	-3.288864E-4
2.600000E-9	-3.511548E-4
2.650000E-9	-3.871267E-4
2.700000E-9	-4.248116E-4
2.750000E-9	-4.453670E-4
2.800000E-9	-4.522188E-4
2.850000E-9	-4.539318E-4
2.900000E-9	-4.573577E-4
2.950000E-9	-4.642095E-4
3.000000E-9	-4.744872E-4
3.050000E-9	-4.847649E-4
3.100000E-9	-4.916167E-4
3.150000E-9	-4.950426E-4
3.200000E-9	-4.916167E-4
3.250000E-9	-4.796260E-4
3.300000E-9	-4.556447E-4
3.350000E-9	-4.128210E-4
3.400000E-9	-3.597195E-4
3.450000E-9	-3.031922E-4
3.500000E-9	-2.415260E-4
3.550000E-9	-1.867116E-4
3.600000E-9	-1.404619E-4
3.650000E-9	-9.249930E-5
3.700000E-9	-6.337915E-5
3.750000E-9	-7.023095E-5
3.800000E-9	-9.592520E-5
3.850000E-9	-1.421749E-4
3.900000E-9	-2.175447E-4
3.950000E-9	-2.980533E-4
4.000000E-9	-3.665713E-4
4.050000E-9	-4.350893E-4
4.100000E-9	-4.847649E-4
4.150000E-9	-4.916167E-4
4.200000E-9	-4.659224E-4
4.250000E-9	-4.145339E-4
4.300000E-9	-3.374512E-4
4.350000E-9	-2.398130E-4
4.400000E-9	-1.370360E-4
4.450000E-9	-3.768490E-5
4.500000E-9	4.796260E-5
4.550000E-9	1.044900E-4
4.600000E-9	1.318972E-4
4.650000E-9	1.318972E-4
4.700000E-9	9.763815E-5
4.750000E-9	2.740720E-5
4.800000E-9	-5.995325E-5
4.850000E-9	-1.627303E-4
4.900000E-9	-2.757850E-4
4.950000E-9	-3.751361E-4
5.000000E-9	-4.573577E-4
5.050000E-9	-5.258757E-4
5.100000E-9	-5.686994E-4
5.150000E-9	-5.806901E-4
5.200000E-9	-5.704124E-4
5.250000E-9	-5.344404E-4
5.300000E-9	-4.813390E-4
5.350000E-9	-4.299505E-4
5.400000E-9	-3.871267E-4
5.450000E-9	-3.545807E-4
5.500000E-9	-3.374512E-4
5.550000E-9	-3.271735E-4
5.600000E-9	-3.288864E-4
5.650000E-9	-3.511548E-4
5.700000E-9	-3.734231E-4
5.750000E-9	-3.819879E-4
5.800000E-9	-3.956915E-4
5.850000E-9	-4.213857E-4
5.900000E-9	-4.436541E-4
5.950000E-9	-4.642095E-4
6.000000E-9	-4.847649E-4
6.050000E-9	-5.018944E-4
6.100000E-9	-5.138850E-4
6.150000E-9	-5.155980E-4
6.200000E-9	-5.001814E-4
6.250000E-9	-4.762001E-4
6.300000E-9	-4.487929E-4
6.350000E-9	-4.162469E-4
6.400000E-9	-3.854138E-4
6.450000E-9	-3.494418E-4
6.500000E-9	-3.151828E-4
6.550000E-9	-2.912015E-4
6.600000E-9	-2.860627E-4
6.650000E-9	-3.066181E-4
6.700000E-9	-3.477289E-4
6.750000E-9	-4.076821E-4
6.800000E-9	-4.881908E-4
6.850000E-9	-5.789771E-4
6.900000E-9	-6.577728E-4
6.950000E-9	-7.108743E-4
7.000000E-9	-7.331426E-4
7.050000E-9	-7.245779E-4
7.100000E-9	-6.937448E-4
7.150000E-9	-6.355045E-4
7.200000E-9	-5.601347E-4
7.250000E-9	-4.899037E-4
7.300000E-9	-4.248116E-4
7.350000E-9	-3.648584E-4
7.400000E-9	-3.288864E-4
7.450000E-9	-3.168958E-4
7.500000E-9	-3.237476E-4
7.550000E-9	-3.494418E-4
7.600000E-9	-3.819879E-4
7.650000E-9	-4.179598E-4
7.700000E-9	-4.556447E-4
7.750000E-9	-4.744872E-4
7.800000E-9	-4.522188E-4
7.850000E-9	-3.939785E-4
7.900000E-9	-3.203217E-4
7.950000E-9	-2.295353E-4
8.000000E-9	-1.096288E-4
8.050000E-9	2.569425E-5
8.100000E-9	1.507396E-4
8.150000E-9	2.620814E-4
8.200000E-9	3.443030E-4
8.250000E-9	3.374512E-4
8.300000E-9	1.867116E-4
8.350000E-9	-1.695821E-4
8.400000E-9	-8.067995E-4
8.450000E-9	-1.808875E-3
8.500000E-9	-3.234050E-3
8.550000E-9	-5.142276E-3
8.600000E-9	-7.572952E-3
8.650000E-9	-1.051066E-2
8.700000E-9	-1.387147E-2
8.750000E-9	-1.753376E-2
8.800000E-9	-2.134850E-2
8.850000E-9	-2.512555E-2
8.900000E-9	-2.866965E-2
8.950000E-9	-3.182661E-2
9.000000E-9	-3.448682E-2
9.050000E-9	-3.658005E-2
9.100000E-9	-3.808231E-2
9.150000E-9	-3.900559E-2
9.200000E-9	-3.940299E-2
9.250000E-9	-3.937730E-2
9.300000E-9	-3.905012E-2
9.350000E-9	-3.851911E-2
9.400000E-9	-3.788703E-2
9.450000E-9	-3.727722E-2
9.500000E-9	-3.678046E-2
9.550000E-9	-3.644473E-2
9.600000E-9	-3.630426E-2
9.650000E-9	-3.636764E-2
9.700000E-9	-3.658861E-2
9.750000E-9	-3.688667E-2
9.800000E-9	-3.719500E-2
9.850000E-9	-3.745708E-2
9.900000E-9	-3.759925E-2
9.950000E-9	-3.757870E-2
1.000000E-8	-3.739199E-2
1.005000E-8	-3.703569E-2
1.010000E-8	-3.651153E-2
1.015000E-8	-3.583320E-2
1.020000E-8	-3.501955E-2
1.025000E-8	-3.410484E-2
1.030000E-8	-3.313188E-2
1.035000E-8	-3.213837E-2
1.040000E-8	-3.115514E-2
1.045000E-8	-3.021130E-2
1.050000E-8	-2.931543E-2
1.055000E-8	-2.847266E-2
1.060000E-8	-2.770012E-2
1.065000E-8	-2.700123E-2
1.070000E-8	-2.636573E-2
1.075000E-8	-2.578675E-2
1.080000E-8	-2.526430E-2
1.085000E-8	-2.480180E-2
1.090000E-8	-2.437699E-2
1.095000E-8	-2.397274E-2
1.100000E-8	-2.361644E-2
1.105000E-8	-2.332353E-2
1.110000E-8	-2.307001E-2
1.115000E-8	-2.285247E-2
1.120000E-8	-2.268631E-2
1.125000E-8	-2.257154E-2
1.130000E-8	-2.249960E-2
1.135000E-8	-2.247733E-2
1.140000E-8	-2.251330E-2
1.145000E-8	-2.260066E-2
1.150000E-8	-2.272400E-2
1.155000E-8	-2.287816E-2
1.160000E-8	-2.306659E-2
1.165000E-8	-2.329269E-2
1.170000E-8	-2.355135E-2
1.175000E-8	-2.384084E-2
1.180000E-8	-2.414574E-2
1.185000E-8	-2.446264E-2
1.190000E-8	-2.478467E-2
1.195000E-8	-2.509472E-2
1.200000E-8	-2.538763E-2
1.205000E-8	-2.567541E-2
1.210000E-8	-2.595633E-2
1.215000E-8	-2.621841E-2
1.220000E-8	-2.645651E-2
1.225000E-8	-2.665864E-2
1.230000E-8	-2.681452E-2
1.235000E-8	-2.691558E-2
1.240000E-8	-2.696355E-2
1.245000E-8	-2.695156E-2
1.250000E-8	-2.687447E-2
1.255000E-8	-2.673230E-2
1.260000E-8	-2.652674E-2
1.265000E-8	-2.626809E-2
1.270000E-8	-2.596832E-2
1.275000E-8	-2.563087E-2
1.280000E-8	-2.527115E-2
1.285000E-8	-2.490287E-2
1.290000E-8	-2.452602E-2
1.295000E-8	-2.414061E-2
1.300000E-8	-2.375690E-2
1.305000E-8	-2.338519E-2
1.310000E-8	-2.301348E-2
1.315000E-8	-2.264006E-2
1.320000E-8	-2.228205E-2
1.325000E-8	-2.193090E-2
1.330000E-8	-2.156433E-2
1.335000E-8	-2.119433E-2
1.340000E-8	-2.084489E-2
1.345000E-8	-2.051086E-2
1.350000E-8	-2.018369E-2
1.355000E-8	-1.988050E-2
1.360000E-8	-1.960814E-2
1.365000E-8	-1.937004E-2
1.370000E-8	-1.917990E-2
1.375000E-8	-1.902916E-2
1.380000E-8	-1.892639E-2
1.385000E-8	-1.890754E-2
1.390000E-8	-1.896750E-2
1.395000E-8	-1.907712E-2
1.400000E-8	-1.924328E-2
1.405000E-8	-1.948138E-2
1.410000E-8	-1.976402E-2
1.415000E-8	-2.007235E-2
1.420000E-8	-2.041494E-2
1.425000E-8	-2.078665E-2
1.430000E-8	-2.115836E-2
1.435000E-8	-2.153350E-2
1.440000E-8	-2.193433E-2
1.445000E-8	-2.234029E-2
1.450000E-8	-2.271543E-2
1.455000E-8	-2.305631E-2
1.460000E-8	-2.337320E-2
1.465000E-8	-2.366612E-2
1.470000E-8	-2.391450E-2
1.475000E-8	-2.411148E-2
1.480000E-8	-2.426908E-2
1.485000E-8	-2.438556E-2
1.490000E-8	-2.444380E-2
1.495000E-8	-2.444380E-2
1.500000E-8	-2.439926E-2
1.505000E-8	-2.429648E-2
1.510000E-8	-2.413204E-2
1.515000E-8	-2.392477E-2
1.520000E-8	-2.368153E-2
1.525000E-8	-2.339205E-2
1.530000E-8	-2.305117E-2
1.535000E-8	-2.269145E-2
1.540000E-8	-2.232488E-2
1.545000E-8	-2.192233E-2
1.550000E-8	-2.149067E-2
1.555000E-8	-2.105558E-2
1.560000E-8	-2.062392E-2
1.565000E-8	-2.020596E-2
1.570000E-8	-1.980855E-2
1.575000E-8	-1.941286E-2
1.580000E-8	-1.901032E-2
1.585000E-8	-1.861292E-2
1.590000E-8	-1.823264E-2
1.595000E-8	-1.785750E-2
1.600000E-8	-1.749265E-2
1.605000E-8	-1.715006E-2
1.610000E-8	-1.684001E-2
1.615000E-8	-1.656937E-2
1.620000E-8	-1.635867E-2
1.625000E-8	-1.622506E-2
1.630000E-8	-1.616511E-2
1.635000E-8	-1.618224E-2
1.640000E-8	-1.628673E-2
1.645000E-8	-1.647515E-2
1.650000E-8	-1.672011E-2
1.655000E-8	-1.701473E-2
1.660000E-8	-1.736075E-2
1.665000E-8	-1.773588E-2
1.670000E-8	-1.811102E-2
1.675000E-8	-1.847759E-2
1.680000E-8	-1.883560E-2
1.685000E-8	-1.917990E-2
1.690000E-8	-1.951735E-2
1.695000E-8	-1.985823E-2
1.700000E-8	-2.020082E-2
1.705000E-8	-2.055883E-2
1.710000E-8	-2.093568E-2
1.715000E-8	-2.131766E-2
1.720000E-8	-2.169109E-2
1.725000E-8	-2.204909E-2
1.730000E-8	-2.237627E-2
1.735000E-8	-2.266404E-2
