Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	4.99019E-6C45degSpot07
Operator	Angus Wylie
Date	8/21/2019
Time	17:40
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:41:42
	
Time	Amplitude
0.000000E+0	-1.421749E-4
5.000000E-11	-4.796260E-5
1.000000E-10	5.310145E-5
1.500000E-10	1.336101E-4
2.000000E-10	1.952763E-4
2.500000E-10	2.432389E-4
3.000000E-10	2.569425E-4
3.500000E-10	2.415260E-4
4.000000E-10	1.987022E-4
4.500000E-10	1.147677E-4
5.000000E-10	1.541655E-5
5.500000E-10	-8.222160E-5
6.000000E-10	-2.072670E-4
6.500000E-10	-3.391641E-4
7.000000E-10	-4.436541E-4
7.500000E-10	-5.395793E-4
8.000000E-10	-6.286527E-4
8.500000E-10	-6.834671E-4
9.000000E-10	-7.091613E-4
9.500000E-10	-7.194390E-4
1.000000E-9	-7.074484E-4
1.050000E-9	-6.766153E-4
1.100000E-9	-6.252268E-4
1.150000E-9	-5.464311E-4
1.200000E-9	-4.710613E-4
1.250000E-9	-4.128210E-4
1.300000E-9	-3.682843E-4
1.350000E-9	-3.391641E-4
1.400000E-9	-3.117569E-4
1.450000E-9	-2.774979E-4
1.500000E-9	-2.655073E-4
1.550000E-9	-2.860627E-4
1.600000E-9	-3.117569E-4
1.650000E-9	-3.220346E-4
1.700000E-9	-3.305994E-4
1.750000E-9	-3.443030E-4
1.800000E-9	-3.614325E-4
1.850000E-9	-3.511548E-4
1.900000E-9	-3.186087E-4
1.950000E-9	-2.929145E-4
2.000000E-9	-2.672202E-4
2.050000E-9	-2.243965E-4
2.100000E-9	-1.849986E-4
2.150000E-9	-1.541655E-4
2.200000E-9	-1.216195E-4
2.250000E-9	-9.935110E-5
2.300000E-9	-1.010641E-4
2.350000E-9	-1.199065E-4
2.400000E-9	-1.490267E-4
2.450000E-9	-1.918504E-4
2.500000E-9	-2.466648E-4
2.550000E-9	-2.997663E-4
2.600000E-9	-3.323123E-4
2.650000E-9	-3.425900E-4
2.700000E-9	-3.374512E-4
2.750000E-9	-3.031922E-4
2.800000E-9	-2.552296E-4
2.850000E-9	-1.987022E-4
2.900000E-9	-1.370360E-4
2.950000E-9	-8.564750E-5
3.000000E-9	-4.967555E-5
3.050000E-9	-2.569425E-5
3.100000E-9	-3.425900E-5
3.150000E-9	-9.249930E-5
3.200000E-9	-1.798598E-4
3.250000E-9	-2.774979E-4
3.300000E-9	-3.854138E-4
3.350000E-9	-4.933296E-4
3.400000E-9	-5.721253E-4
3.450000E-9	-6.269397E-4
3.500000E-9	-6.560599E-4
3.550000E-9	-6.423563E-4
3.600000E-9	-5.892548E-4
3.650000E-9	-5.224498E-4
3.700000E-9	-4.402282E-4
3.750000E-9	-3.443030E-4
3.800000E-9	-2.757850E-4
3.850000E-9	-2.278224E-4
3.900000E-9	-1.849986E-4
3.950000E-9	-1.764339E-4
4.000000E-9	-2.038411E-4
4.050000E-9	-2.346742E-4
4.100000E-9	-2.603684E-4
4.150000E-9	-2.877756E-4
4.200000E-9	-2.946274E-4
4.250000E-9	-2.706461E-4
4.300000E-9	-2.209706E-4
4.350000E-9	-1.473137E-4
4.400000E-9	-5.995325E-5
4.450000E-9	3.768490E-5
4.500000E-9	1.404619E-4
4.550000E-9	2.346742E-4
4.600000E-9	3.014792E-4
4.650000E-9	3.408771E-4
4.700000E-9	3.460159E-4
4.750000E-9	3.117569E-4
4.800000E-9	2.449519E-4
4.850000E-9	1.490267E-4
4.900000E-9	2.740720E-5
4.950000E-9	-1.096288E-4
5.000000E-9	-2.381001E-4
5.050000E-9	-3.425900E-4
5.100000E-9	-4.128210E-4
5.150000E-9	-4.590706E-4
5.200000E-9	-4.847649E-4
5.250000E-9	-4.744872E-4
5.300000E-9	-4.282375E-4
5.350000E-9	-3.751361E-4
5.400000E-9	-3.151828E-4
5.450000E-9	-2.449519E-4
5.500000E-9	-1.695821E-4
5.550000E-9	-1.044900E-4
5.600000E-9	-7.023095E-5
5.650000E-9	-5.824030E-5
5.700000E-9	-6.166620E-5
5.750000E-9	-7.879570E-5
5.800000E-9	-1.010641E-4
5.850000E-9	-1.216195E-4
5.900000E-9	-1.404619E-4
5.950000E-9	-1.318972E-4
6.000000E-9	-9.935110E-5
6.050000E-9	-6.680505E-5
6.100000E-9	-2.740720E-5
6.150000E-9	4.111080E-5
6.200000E-9	1.079159E-4
6.250000E-9	1.456008E-4
6.300000E-9	1.678691E-4
6.350000E-9	1.832857E-4
6.400000E-9	1.644432E-4
6.450000E-9	1.164806E-4
6.500000E-9	5.481440E-5
6.550000E-9	-2.226835E-5
6.600000E-9	-1.079159E-4
6.650000E-9	-1.832857E-4
6.700000E-9	-2.415260E-4
6.750000E-9	-2.843497E-4
6.800000E-9	-3.066181E-4
6.850000E-9	-3.066181E-4
6.900000E-9	-3.134699E-4
6.950000E-9	-3.305994E-4
7.000000E-9	-3.254605E-4
7.050000E-9	-2.980533E-4
7.100000E-9	-2.894886E-4
7.150000E-9	-3.168958E-4
7.200000E-9	-3.460159E-4
7.250000E-9	-3.631454E-4
7.300000E-9	-3.974044E-4
7.350000E-9	-4.436541E-4
7.400000E-9	-4.830519E-4
7.450000E-9	-5.104591E-4
7.500000E-9	-5.378663E-4
7.550000E-9	-5.789771E-4
7.600000E-9	-6.166620E-4
7.650000E-9	-6.526340E-4
7.700000E-9	-7.040225E-4
7.750000E-9	-7.811052E-4
7.800000E-9	-8.736045E-4
7.850000E-9	-9.695297E-4
7.900000E-9	-1.050038E-3
7.950000E-9	-1.103140E-3
8.000000E-9	-1.142538E-3
8.050000E-9	-1.159667E-3
8.100000E-9	-1.118556E-3
8.150000E-9	-9.935110E-4
8.200000E-9	-7.588369E-4
8.250000E-9	-3.682843E-4
8.300000E-9	2.381001E-4
8.350000E-9	1.125408E-3
8.400000E-9	2.362158E-3
8.450000E-9	4.004877E-3
8.500000E-9	6.094676E-3
8.550000E-9	8.641833E-3
8.600000E-9	1.163778E-2
8.650000E-9	1.505169E-2
8.700000E-9	1.876708E-2
8.750000E-9	2.264520E-2
8.800000E-9	2.656786E-2
8.850000E-9	3.037403E-2
8.900000E-9	3.388558E-2
8.950000E-9	3.698259E-2
9.000000E-9	3.958799E-2
9.050000E-9	4.165552E-2
9.100000E-9	4.318518E-2
9.150000E-9	4.421638E-2
9.200000E-9	4.482448E-2
9.250000E-9	4.512767E-2
9.300000E-9	4.526984E-2
9.350000E-9	4.538119E-2
9.400000E-9	4.557132E-2
9.450000E-9	4.592590E-2
9.500000E-9	4.648604E-2
9.550000E-9	4.724145E-2
9.600000E-9	4.815445E-2
9.650000E-9	4.916681E-2
9.700000E-9	5.019286E-2
9.750000E-9	5.114355E-2
9.800000E-9	5.193151E-2
9.850000E-9	5.246937E-2
9.900000E-9	5.270576E-2
9.950000E-9	5.262011E-2
1.000000E-8	5.217988E-2
1.005000E-8	5.140221E-2
1.010000E-8	5.031791E-2
1.015000E-8	4.894583E-2
1.020000E-8	4.735450E-2
1.025000E-8	4.562442E-2
1.030000E-8	4.378986E-2
