Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	5.099791e-5C45degSpot02
Operator	Angus Wylie
Date	8/21/2019
Time	19:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	19:32:30
	
Time	Amplitude
0.000000E+0	-4.693483E-4
5.000000E-11	-4.864778E-4
1.000000E-10	-4.950426E-4
1.500000E-10	-4.984685E-4
2.000000E-10	-5.053203E-4
2.500000E-10	-5.121721E-4
3.000000E-10	-5.293016E-4
3.500000E-10	-5.412922E-4
4.000000E-10	-5.515699E-4
4.500000E-10	-5.721253E-4
5.000000E-10	-5.824030E-4
5.500000E-10	-5.738383E-4
6.000000E-10	-5.635606E-4
6.500000E-10	-5.447181E-4
7.000000E-10	-5.036073E-4
7.500000E-10	-4.487929E-4
8.000000E-10	-3.922656E-4
8.500000E-10	-3.340253E-4
9.000000E-10	-2.912015E-4
9.500000E-10	-2.689332E-4
1.000000E-9	-2.466648E-4
1.050000E-9	-2.363871E-4
1.100000E-9	-2.415260E-4
1.150000E-9	-2.466648E-4
1.200000E-9	-2.586555E-4
1.250000E-9	-2.757850E-4
1.300000E-9	-2.757850E-4
1.350000E-9	-2.518037E-4
1.400000E-9	-2.226835E-4
1.450000E-9	-1.884245E-4
1.500000E-9	-1.438878E-4
1.550000E-9	-1.181936E-4
1.600000E-9	-1.199065E-4
1.650000E-9	-1.267583E-4
1.700000E-9	-1.387490E-4
1.750000E-9	-1.781468E-4
1.800000E-9	-2.346742E-4
1.850000E-9	-2.894886E-4
1.900000E-9	-3.631454E-4
1.950000E-9	-4.505059E-4
2.000000E-9	-5.344404E-4
2.050000E-9	-6.115232E-4
2.100000E-9	-6.646246E-4
2.150000E-9	-6.903189E-4
2.200000E-9	-7.005966E-4
2.250000E-9	-6.834671E-4
2.300000E-9	-6.355045E-4
2.350000E-9	-5.824030E-4
2.400000E-9	-5.327275E-4
2.450000E-9	-4.727742E-4
2.500000E-9	-4.093951E-4
2.550000E-9	-3.528677E-4
2.600000E-9	-2.843497E-4
2.650000E-9	-2.158317E-4
2.700000E-9	-1.627303E-4
2.750000E-9	-1.216195E-4
