Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	4.99019E-6C45degSpot02
Operator	Angus Wylie
Date	8/21/2019
Time	17:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:32:01
	
Time	Amplitude
0.000000E+0	-2.877756E-4
5.000000E-11	-2.826368E-4
1.000000E-10	-2.723591E-4
1.500000E-10	-2.586555E-4
2.000000E-10	-2.295353E-4
2.500000E-10	-1.952763E-4
3.000000E-10	-1.593044E-4
3.500000E-10	-1.216195E-4
4.000000E-10	-8.736045E-5
4.500000E-10	-5.481440E-5
5.000000E-10	-2.912015E-5
5.500000E-10	-2.398130E-5
6.000000E-10	-3.597195E-5
6.500000E-10	-5.138850E-5
7.000000E-10	-7.023095E-5
7.500000E-10	-9.421225E-5
8.000000E-10	-1.113418E-4
8.500000E-10	-1.199065E-4
9.000000E-10	-1.130547E-4
9.500000E-10	-9.935110E-5
1.000000E-9	-8.736045E-5
1.050000E-9	-6.680505E-5
1.100000E-9	-4.282375E-5
1.150000E-9	-1.370360E-5
1.200000E-9	1.370360E-5
1.250000E-9	1.370360E-5
1.300000E-9	-1.027770E-5
1.350000E-9	-3.768490E-5
1.400000E-9	-7.708275E-5
1.450000E-9	-1.336101E-4
1.500000E-9	-1.901375E-4
1.550000E-9	-2.312483E-4
1.600000E-9	-2.655073E-4
1.650000E-9	-2.740720E-4
1.700000E-9	-2.535166E-4
1.750000E-9	-2.141188E-4
1.800000E-9	-1.627303E-4
1.850000E-9	-9.592520E-5
1.900000E-9	-2.569425E-5
1.950000E-9	2.226835E-5
2.000000E-9	3.939785E-5
2.050000E-9	3.254605E-5
2.100000E-9	0.000000E+0
2.150000E-9	-5.310145E-5
2.200000E-9	-1.267583E-4
2.250000E-9	-2.055540E-4
2.300000E-9	-2.655073E-4
2.350000E-9	-3.031922E-4
2.400000E-9	-3.186087E-4
2.450000E-9	-3.134699E-4
2.500000E-9	-2.757850E-4
2.550000E-9	-2.106929E-4
2.600000E-9	-1.370360E-4
2.650000E-9	-6.166620E-5
2.700000E-9	1.370360E-5
2.750000E-9	5.652735E-5
2.800000E-9	6.509210E-5
2.850000E-9	3.768490E-5
2.900000E-9	-2.740720E-5
2.950000E-9	-1.370360E-4
3.000000E-9	-2.620814E-4
3.050000E-9	-3.682843E-4
3.100000E-9	-4.505059E-4
3.150000E-9	-5.087462E-4
3.200000E-9	-5.155980E-4
3.250000E-9	-4.727742E-4
3.300000E-9	-4.059692E-4
3.350000E-9	-3.168958E-4
3.400000E-9	-1.969893E-4
3.450000E-9	-7.536980E-5
3.500000E-9	2.055540E-5
3.550000E-9	8.564750E-5
3.600000E-9	1.147677E-4
3.650000E-9	9.592520E-5
3.700000E-9	2.569425E-5
3.750000E-9	-7.365685E-5
3.800000E-9	-1.798598E-4
3.850000E-9	-2.963404E-4
3.900000E-9	-3.905526E-4
3.950000E-9	-4.299505E-4
4.000000E-9	-4.299505E-4
4.050000E-9	-4.042562E-4
4.100000E-9	-3.237476E-4
4.150000E-9	-2.055540E-4
4.200000E-9	-8.736045E-5
4.250000E-9	3.254605E-5
4.300000E-9	1.558785E-4
4.350000E-9	2.329612E-4
4.400000E-9	2.535166E-4
4.450000E-9	2.518037E-4
4.500000E-9	2.346742E-4
4.550000E-9	1.747209E-4
4.600000E-9	9.592520E-5
4.650000E-9	2.055540E-5
4.700000E-9	-5.995325E-5
4.750000E-9	-1.181936E-4
4.800000E-9	-1.404619E-4
4.850000E-9	-1.610173E-4
4.900000E-9	-1.695821E-4
4.950000E-9	-1.541655E-4
5.000000E-9	-1.644432E-4
5.050000E-9	-1.969893E-4
5.100000E-9	-2.089799E-4
5.150000E-9	-2.209706E-4
5.200000E-9	-2.689332E-4
5.250000E-9	-3.271735E-4
5.300000E-9	-3.768490E-4
5.350000E-9	-4.179598E-4
5.400000E-9	-4.402282E-4
5.450000E-9	-4.522188E-4
