Study Name	CuCrZrCCFE2MeV13uA0.025dpaV_single_crystal
Sample Name	2019-08-21
Run Name	5.099791e-5C45degSpot03
Operator	Angus Wylie
Date	8/21/2019
Time	19:28
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	19:29:53
	
Time	Amplitude
0.000000E+0	-3.408771E-4
5.000000E-11	-3.597195E-4
1.000000E-10	-3.391641E-4
1.500000E-10	-2.963404E-4
2.000000E-10	-2.432389E-4
2.500000E-10	-1.575914E-4
3.000000E-10	-5.481440E-5
3.500000E-10	2.569425E-5
4.000000E-10	8.736045E-5
4.500000E-10	1.301842E-4
5.000000E-10	1.284713E-4
5.500000E-10	7.365685E-5
6.000000E-10	-1.199065E-5
6.500000E-10	-1.147677E-4
7.000000E-10	-2.398130E-4
7.500000E-10	-3.699972E-4
8.000000E-10	-4.796260E-4
8.500000E-10	-5.652735E-4
9.000000E-10	-6.183750E-4
9.500000E-10	-6.337915E-4
1.000000E-9	-6.320786E-4
1.050000E-9	-6.183750E-4
1.100000E-9	-5.738383E-4
1.150000E-9	-4.916167E-4
1.200000E-9	-3.991174E-4
1.250000E-9	-3.220346E-4
1.300000E-9	-2.466648E-4
1.350000E-9	-1.781468E-4
1.400000E-9	-1.318972E-4
1.450000E-9	-1.233324E-4
1.500000E-9	-1.284713E-4
1.550000E-9	-1.404619E-4
1.600000E-9	-1.661562E-4
1.650000E-9	-2.055540E-4
1.700000E-9	-2.398130E-4
1.750000E-9	-2.689332E-4
1.800000E-9	-3.031922E-4
1.850000E-9	-3.425900E-4
1.900000E-9	-3.580066E-4
1.950000E-9	-3.528677E-4
2.000000E-9	-3.511548E-4
2.050000E-9	-3.340253E-4
2.100000E-9	-2.980533E-4
2.150000E-9	-2.637943E-4
2.200000E-9	-2.312483E-4
2.250000E-9	-1.952763E-4
2.300000E-9	-1.730080E-4
2.350000E-9	-1.695821E-4
2.400000E-9	-1.832857E-4
2.450000E-9	-2.192576E-4
2.500000E-9	-2.569425E-4
2.550000E-9	-3.031922E-4
2.600000E-9	-3.665713E-4
2.650000E-9	-4.299505E-4
2.700000E-9	-4.779131E-4
2.750000E-9	-5.173109E-4
2.800000E-9	-5.361534E-4
2.850000E-9	-5.395793E-4
2.900000E-9	-5.430052E-4
2.950000E-9	-5.378663E-4
3.000000E-9	-5.138850E-4
3.050000E-9	-4.881908E-4
3.100000E-9	-4.779131E-4
3.150000E-9	-4.659224E-4
3.200000E-9	-4.487929E-4
3.250000E-9	-4.522188E-4
3.300000E-9	-4.693483E-4
3.350000E-9	-4.779131E-4
3.400000E-9	-4.779131E-4
3.450000E-9	-4.710613E-4
3.500000E-9	-4.470800E-4
3.550000E-9	-4.059692E-4
3.600000E-9	-3.614325E-4
3.650000E-9	-3.151828E-4
3.700000E-9	-2.655073E-4
3.750000E-9	-2.398130E-4
3.800000E-9	-2.466648E-4
3.850000E-9	-2.655073E-4
3.900000E-9	-3.031922E-4
3.950000E-9	-3.665713E-4
