Study Name	V_single_crystal
Sample Name	2019-08-18
Run Name	6.0403e-7C45degSpot03
Operator	Angus Wylie
Date	8/18/2019
Time	17:33
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:34:45
	
Time	Amplitude
0.000000E+0	1.781468E-4
5.000000E-11	2.295353E-4
1.000000E-10	2.329612E-4
1.500000E-10	2.072670E-4
2.000000E-10	1.730080E-4
2.500000E-10	1.199065E-4
3.000000E-10	5.138850E-5
3.500000E-10	-5.138850E-6
4.000000E-10	-4.624965E-5
4.500000E-10	-6.851800E-5
5.000000E-10	-7.708275E-5
5.500000E-10	-6.680505E-5
6.000000E-10	-3.768490E-5
6.500000E-10	-8.564750E-6
7.000000E-10	1.884245E-5
7.500000E-10	4.111080E-5
8.000000E-10	4.796260E-5
8.500000E-10	3.083310E-5
9.000000E-10	-3.425900E-6
9.500000E-10	-5.138850E-5
1.000000E-9	-9.763815E-5
1.050000E-9	-1.404619E-4
1.100000E-9	-2.004152E-4
1.150000E-9	-2.586555E-4
1.200000E-9	-2.877756E-4
1.250000E-9	-2.980533E-4
1.300000E-9	-2.980533E-4
1.350000E-9	-2.637943E-4
1.400000E-9	-1.901375E-4
1.450000E-9	-1.044900E-4
1.500000E-9	-1.541655E-5
1.550000E-9	7.194390E-5
1.600000E-9	1.593044E-4
1.650000E-9	2.312483E-4
1.700000E-9	2.672202E-4
1.750000E-9	2.757850E-4
1.800000E-9	2.500907E-4
1.850000E-9	1.832857E-4
1.900000E-9	1.079159E-4
1.950000E-9	2.912015E-5
2.000000E-9	-7.879570E-5
2.050000E-9	-1.952763E-4
2.100000E-9	-2.877756E-4
2.150000E-9	-3.528677E-4
2.200000E-9	-3.956915E-4
2.250000E-9	-3.974044E-4
2.300000E-9	-3.631454E-4
2.350000E-9	-3.066181E-4
2.400000E-9	-2.346742E-4
2.450000E-9	-1.730080E-4
2.500000E-9	-1.233324E-4
2.550000E-9	-6.680505E-5
2.600000E-9	-8.564750E-6
2.650000E-9	3.597195E-5
2.700000E-9	6.851800E-5
2.750000E-9	8.393455E-5
2.800000E-9	8.736045E-5
2.850000E-9	9.763815E-5
2.900000E-9	1.113418E-4
2.950000E-9	1.181936E-4
3.000000E-9	1.233324E-4
3.050000E-9	1.284713E-4
3.100000E-9	1.336101E-4
3.150000E-9	1.507396E-4
3.200000E-9	1.747209E-4
3.250000E-9	1.798598E-4
3.300000E-9	1.781468E-4
3.350000E-9	2.004152E-4
3.400000E-9	2.261094E-4
3.450000E-9	2.415260E-4
3.500000E-9	2.757850E-4
3.550000E-9	3.186087E-4
3.600000E-9	3.562936E-4
3.650000E-9	3.922656E-4
3.700000E-9	4.248116E-4
3.750000E-9	4.402282E-4
3.800000E-9	4.316634E-4
3.850000E-9	3.854138E-4
3.900000E-9	2.946274E-4
3.950000E-9	1.764339E-4
4.000000E-9	3.597195E-5
4.050000E-9	-1.250454E-4
4.100000E-9	-2.843497E-4
4.150000E-9	-4.385152E-4
4.200000E-9	-5.875419E-4
4.250000E-9	-7.040225E-4
