Study Name	V_single_crystal
Sample Name	2019-08-18
Run Name	6.0403e-7C45degSpot06
Operator	Angus Wylie
Date	8/18/2019
Time	17:40
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:42:18
	
Time	Amplitude
0.000000E+0	-9.421198E-4
5.000000E-11	-9.215644E-4
1.000000E-10	-9.147127E-4
1.500000E-10	-9.010091E-4
2.000000E-10	-8.770279E-4
2.500000E-10	-8.667502E-4
3.000000E-10	-8.530466E-4
3.500000E-10	-8.119360E-4
4.000000E-10	-7.673994E-4
4.500000E-10	-7.331405E-4
5.000000E-10	-6.817521E-4
5.500000E-10	-6.337897E-4
6.000000E-10	-5.926790E-4
6.500000E-10	-5.275871E-4
7.000000E-10	-4.590693E-4
7.500000E-10	-4.213845E-4
8.000000E-10	-3.871256E-4
8.500000E-10	-3.460149E-4
9.000000E-10	-3.323113E-4
9.500000E-10	-3.425890E-4
1.000000E-9	-3.357372E-4
1.050000E-9	-3.254596E-4
1.100000E-9	-3.425890E-4
1.150000E-9	-3.836997E-4
1.200000E-9	-4.350880E-4
1.250000E-9	-4.796246E-4
1.300000E-9	-5.138835E-4
1.350000E-9	-5.447165E-4
1.400000E-9	-5.892531E-4
1.450000E-9	-6.303638E-4
1.500000E-9	-6.474932E-4
1.550000E-9	-6.646227E-4
1.600000E-9	-6.988816E-4
1.650000E-9	-7.228628E-4
1.700000E-9	-7.365664E-4
1.750000E-9	-7.571217E-4
1.800000E-9	-7.742512E-4
1.850000E-9	-7.811029E-4
1.900000E-9	-7.948065E-4
1.950000E-9	-8.085101E-4
2.000000E-9	-7.879547E-4
2.050000E-9	-7.468440E-4
2.100000E-9	-7.125851E-4
2.150000E-9	-6.817521E-4
2.200000E-9	-6.166602E-4
2.250000E-9	-5.104576E-4
2.300000E-9	-4.111068E-4
2.350000E-9	-3.220337E-4
2.400000E-9	-2.158311E-4
2.450000E-9	-1.164803E-4
2.500000E-9	-4.796246E-5
2.550000E-9	0.000000E+0
2.600000E-9	1.370356E-5
2.650000E-9	-1.712945E-5
2.700000E-9	-6.166602E-5
2.750000E-9	-1.062026E-4
2.800000E-9	-1.644427E-4
2.850000E-9	-2.124052E-4
2.900000E-9	-2.432382E-4
2.950000E-9	-2.706453E-4
3.000000E-9	-2.877748E-4
3.050000E-9	-2.774971E-4
3.100000E-9	-2.569418E-4
3.150000E-9	-2.261087E-4
3.200000E-9	-1.815722E-4
3.250000E-9	-1.267579E-4
3.300000E-9	-8.907314E-5
3.350000E-9	-7.194369E-5
3.400000E-9	-6.509191E-5
3.450000E-9	-5.824013E-5
3.500000E-9	-5.824013E-5
3.550000E-9	-7.194369E-5
3.600000E-9	-8.907314E-5
3.650000E-9	-1.096285E-4
3.700000E-9	-1.438874E-4
3.750000E-9	-1.644427E-4
3.800000E-9	-1.781463E-4
3.850000E-9	-2.124052E-4
3.900000E-9	-2.500900E-4
3.950000E-9	-2.843489E-4
4.000000E-9	-3.117560E-4
4.050000E-9	-3.357372E-4
4.100000E-9	-3.597185E-4
4.150000E-9	-3.734220E-4
4.200000E-9	-3.734220E-4
4.250000E-9	-3.699961E-4
4.300000E-9	-3.562926E-4
4.350000E-9	-3.323113E-4
4.400000E-9	-3.151819E-4
4.450000E-9	-3.083301E-4
4.500000E-9	-3.117560E-4
4.550000E-9	-3.254596E-4
4.600000E-9	-3.425890E-4
4.650000E-9	-3.734220E-4
4.700000E-9	-4.179586E-4
4.750000E-9	-4.659211E-4
4.800000E-9	-5.036058E-4
4.850000E-9	-5.447165E-4
4.900000E-9	-5.721236E-4
4.950000E-9	-5.584201E-4
5.000000E-9	-5.310130E-4
5.050000E-9	-5.138835E-4
5.100000E-9	-4.967541E-4
5.150000E-9	-4.796246E-4
5.200000E-9	-4.761987E-4
5.250000E-9	-4.899023E-4
5.300000E-9	-5.207353E-4
5.350000E-9	-5.721236E-4
5.400000E-9	-6.235120E-4
5.450000E-9	-6.714745E-4
5.500000E-9	-7.262887E-4
5.550000E-9	-7.982324E-4
5.600000E-9	-8.496207E-4
5.650000E-9	-8.667502E-4
5.700000E-9	-8.736020E-4
5.750000E-9	-8.701761E-4
5.800000E-9	-8.427690E-4
5.850000E-9	-7.845288E-4
5.900000E-9	-7.194369E-4
5.950000E-9	-6.646227E-4
6.000000E-9	-6.200861E-4
6.050000E-9	-5.721236E-4
6.100000E-9	-5.138835E-4
6.150000E-9	-4.624952E-4
6.200000E-9	-4.145327E-4
6.250000E-9	-4.008291E-4
6.300000E-9	-4.248104E-4
