Study Name	V_single_crystal
Sample Name	0dpa
Run Name	85degreesSpot4
Operator	Angus Wylie
Date	8/5/2019
Time	14:32
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:34:28
	
Time	Amplitude
0.000000E+0	2.860627E-4
5.000000E-11	2.860627E-4
1.000000E-10	2.706461E-4
1.500000E-10	2.398130E-4
2.000000E-10	2.004152E-4
2.500000E-10	1.507396E-4
3.000000E-10	1.010641E-4
3.500000E-10	7.194390E-5
4.000000E-10	6.509210E-5
4.500000E-10	7.536980E-5
5.000000E-10	1.044900E-4
5.500000E-10	1.558785E-4
6.000000E-10	2.295353E-4
6.500000E-10	3.168958E-4
7.000000E-10	4.076821E-4
7.500000E-10	4.984685E-4
8.000000E-10	5.789771E-4
8.500000E-10	6.337915E-4
9.000000E-10	6.594858E-4
9.500000E-10	6.509210E-4
1.000000E-9	6.183750E-4
1.050000E-9	5.772642E-4
1.100000E-9	5.224498E-4
1.150000E-9	4.505059E-4
1.200000E-9	3.819879E-4
1.250000E-9	3.443030E-4
1.300000E-9	3.271735E-4
1.350000E-9	3.049051E-4
1.400000E-9	2.963404E-4
1.450000E-9	3.168958E-4
1.500000E-9	3.305994E-4
1.550000E-9	3.408771E-4
1.600000E-9	3.665713E-4
1.650000E-9	3.819879E-4
1.700000E-9	3.717102E-4
1.750000E-9	3.734231E-4
1.800000E-9	3.837008E-4
1.850000E-9	3.768490E-4
1.900000E-9	3.717102E-4
1.950000E-9	3.734231E-4
2.000000E-9	3.734231E-4
2.050000E-9	3.802749E-4
2.100000E-9	3.922656E-4
2.150000E-9	4.008303E-4
2.200000E-9	4.042562E-4
2.250000E-9	3.974044E-4
2.300000E-9	3.768490E-4
2.350000E-9	3.425900E-4
2.400000E-9	3.049051E-4
2.450000E-9	2.603684E-4
2.500000E-9	1.935634E-4
2.550000E-9	1.079159E-4
2.600000E-9	3.425900E-5
2.650000E-9	-2.226835E-5
2.700000E-9	-7.365685E-5
2.750000E-9	-1.079159E-4
2.800000E-9	-1.079159E-4
2.850000E-9	-8.050865E-5
2.900000E-9	-2.912015E-5
2.950000E-9	5.652735E-5
3.000000E-9	1.524526E-4
3.050000E-9	2.381001E-4
3.100000E-9	3.117569E-4
3.150000E-9	3.922656E-4
3.200000E-9	4.659224E-4
3.250000E-9	5.121721E-4
3.300000E-9	5.310145E-4
3.350000E-9	5.293016E-4
3.400000E-9	5.018944E-4
3.450000E-9	4.487929E-4
3.500000E-9	3.854138E-4
3.550000E-9	3.151828E-4
3.600000E-9	2.535166E-4
3.650000E-9	2.209706E-4
3.700000E-9	2.192576E-4
3.750000E-9	2.449519E-4
3.800000E-9	2.980533E-4
3.850000E-9	3.614325E-4
3.900000E-9	4.128210E-4
3.950000E-9	4.573577E-4
4.000000E-9	5.053203E-4
4.050000E-9	5.447181E-4
4.100000E-9	5.584217E-4
4.150000E-9	5.327275E-4
4.200000E-9	4.967555E-4
4.250000E-9	4.710613E-4
4.300000E-9	4.470800E-4
4.350000E-9	4.162469E-4
4.400000E-9	4.076821E-4
4.450000E-9	4.402282E-4
4.500000E-9	4.881908E-4
4.550000E-9	5.549958E-4
4.600000E-9	6.372174E-4
4.650000E-9	7.314297E-4
