Study Name	V_single_crystal
Sample Name	0dpa
Run Name	85degreesSpot4
Operator	Angus Wylie
Date	8/5/2019
Time	14:32
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:34:28
	
Time	Amplitude
0.000000E+0	-6.440692E-4
5.000000E-11	-6.303656E-4
1.000000E-10	-6.183750E-4
1.500000E-10	-6.200879E-4
2.000000E-10	-6.286527E-4
2.500000E-10	-6.440692E-4
3.000000E-10	-6.680505E-4
3.500000E-10	-6.868930E-4
4.000000E-10	-6.937448E-4
4.500000E-10	-6.937448E-4
5.000000E-10	-6.817541E-4
5.500000E-10	-6.457822E-4
6.000000E-10	-5.943937E-4
6.500000E-10	-5.344404E-4
7.000000E-10	-4.573577E-4
7.500000E-10	-3.734231E-4
8.000000E-10	-3.049051E-4
8.500000E-10	-2.500907E-4
9.000000E-10	-2.106929E-4
9.500000E-10	-1.987022E-4
1.000000E-9	-2.055540E-4
1.050000E-9	-2.209706E-4
1.100000E-9	-2.569425E-4
1.150000E-9	-3.134699E-4
1.200000E-9	-3.665713E-4
1.250000E-9	-4.059692E-4
1.300000E-9	-4.402282E-4
1.350000E-9	-4.710613E-4
1.400000E-9	-4.881908E-4
1.450000E-9	-4.916167E-4
1.500000E-9	-5.001814E-4
1.550000E-9	-5.036073E-4
1.600000E-9	-5.001814E-4
1.650000E-9	-5.155980E-4
1.700000E-9	-5.481440E-4
1.750000E-9	-5.618476E-4
1.800000E-9	-5.618476E-4
1.850000E-9	-5.669865E-4
1.900000E-9	-5.635606E-4
1.950000E-9	-5.481440E-4
2.000000E-9	-5.293016E-4
2.050000E-9	-5.104591E-4
2.100000E-9	-4.916167E-4
2.150000E-9	-4.744872E-4
2.200000E-9	-4.624965E-4
2.250000E-9	-4.693483E-4
2.300000E-9	-4.950426E-4
2.350000E-9	-5.344404E-4
2.400000E-9	-5.892548E-4
2.450000E-9	-6.646246E-4
2.500000E-9	-7.536980E-4
2.550000E-9	-8.479103E-4
2.600000E-9	-9.232801E-4
2.650000E-9	-9.832333E-4
2.700000E-9	-1.026057E-3
2.750000E-9	-1.029483E-3
2.800000E-9	-1.000363E-3
2.850000E-9	-9.575391E-4
2.900000E-9	-8.838822E-4
2.950000E-9	-7.742534E-4
3.000000E-9	-6.697635E-4
3.050000E-9	-5.789771E-4
3.100000E-9	-4.881908E-4
3.150000E-9	-3.991174E-4
3.200000E-9	-3.288864E-4
3.250000E-9	-2.860627E-4
3.300000E-9	-2.689332E-4
3.350000E-9	-2.689332E-4
3.400000E-9	-2.877756E-4
3.450000E-9	-3.323123E-4
3.500000E-9	-3.837008E-4
3.550000E-9	-4.230987E-4
3.600000E-9	-4.487929E-4
3.650000E-9	-4.676354E-4
3.700000E-9	-4.779131E-4
3.750000E-9	-4.624965E-4
3.800000E-9	-4.333764E-4
3.850000E-9	-4.179598E-4
3.900000E-9	-4.128210E-4
3.950000E-9	-4.042562E-4
4.000000E-9	-3.956915E-4
4.050000E-9	-3.991174E-4
4.100000E-9	-4.128210E-4
4.150000E-9	-4.436541E-4
4.200000E-9	-4.796260E-4
4.250000E-9	-5.036073E-4
4.300000E-9	-5.138850E-4
4.350000E-9	-5.155980E-4
4.400000E-9	-5.001814E-4
