Study Name	V_single_crystal
Sample Name	2019-08-18
Run Name	6.0403e-7C45degSpot06
Operator	Angus Wylie
Date	8/18/2019
Time	17:40
Sign	NEG
Grating Spacing	06.40um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:42:18
	
Time	Amplitude
0.000000E+0	-5.481424E-4
5.000000E-11	-5.481424E-4
1.000000E-10	-5.549942E-4
1.500000E-10	-5.721236E-4
2.000000E-10	-5.755495E-4
2.500000E-10	-5.789754E-4
3.000000E-10	-5.858272E-4
3.500000E-10	-5.721236E-4
4.000000E-10	-5.378647E-4
4.500000E-10	-5.241612E-4
5.000000E-10	-5.173094E-4
5.500000E-10	-5.070317E-4
6.000000E-10	-5.036058E-4
6.500000E-10	-5.104576E-4
7.000000E-10	-4.899023E-4
7.500000E-10	-4.659211E-4
8.000000E-10	-4.693469E-4
8.500000E-10	-4.624952E-4
9.000000E-10	-4.316622E-4
9.500000E-10	-4.111068E-4
1.000000E-9	-4.145327E-4
1.050000E-9	-4.350880E-4
1.100000E-9	-4.385139E-4
1.150000E-9	-4.316622E-4
1.200000E-9	-4.350880E-4
1.250000E-9	-4.590693E-4
1.300000E-9	-5.001800E-4
1.350000E-9	-5.481424E-4
1.400000E-9	-5.961049E-4
1.450000E-9	-6.337897E-4
1.500000E-9	-6.474932E-4
1.550000E-9	-6.406414E-4
1.600000E-9	-6.269379E-4
1.650000E-9	-6.098084E-4
1.700000E-9	-5.789754E-4
1.750000E-9	-5.412906E-4
1.800000E-9	-5.036058E-4
1.850000E-9	-4.761987E-4
1.900000E-9	-4.522175E-4
1.950000E-9	-4.213845E-4
2.000000E-9	-4.042550E-4
2.050000E-9	-4.111068E-4
2.100000E-9	-4.179586E-4
2.150000E-9	-4.350880E-4
2.200000E-9	-4.727728E-4
2.250000E-9	-5.070317E-4
2.300000E-9	-5.173094E-4
2.350000E-9	-5.207353E-4
2.400000E-9	-5.310130E-4
2.450000E-9	-5.310130E-4
2.500000E-9	-5.207353E-4
2.550000E-9	-5.104576E-4
2.600000E-9	-5.104576E-4
2.650000E-9	-5.036058E-4
2.700000E-9	-4.899023E-4
2.750000E-9	-4.830505E-4
2.800000E-9	-4.830505E-4
2.850000E-9	-4.830505E-4
2.900000E-9	-4.693469E-4
2.950000E-9	-4.727728E-4
3.000000E-9	-5.001800E-4
3.050000E-9	-5.207353E-4
3.100000E-9	-5.378647E-4
3.150000E-9	-5.721236E-4
3.200000E-9	-6.098084E-4
3.250000E-9	-6.303638E-4
3.300000E-9	-6.440673E-4
3.350000E-9	-6.543450E-4
3.400000E-9	-6.611968E-4
3.450000E-9	-6.783262E-4
3.500000E-9	-6.817521E-4
3.550000E-9	-6.509191E-4
3.600000E-9	-6.029567E-4
3.650000E-9	-5.584201E-4
3.700000E-9	-4.967541E-4
3.750000E-9	-4.419398E-4
3.800000E-9	-4.145327E-4
3.850000E-9	-3.974033E-4
3.900000E-9	-3.939774E-4
3.950000E-9	-4.145327E-4
4.000000E-9	-4.522175E-4
4.050000E-9	-4.967541E-4
4.100000E-9	-5.481424E-4
4.150000E-9	-6.029567E-4
4.200000E-9	-6.646227E-4
4.250000E-9	-7.228628E-4
4.300000E-9	-7.673994E-4
4.350000E-9	-7.639735E-4
4.400000E-9	-7.365664E-4
4.450000E-9	-7.023075E-4
4.500000E-9	-6.235120E-4
4.550000E-9	-5.138835E-4
4.600000E-9	-4.213845E-4
4.650000E-9	-3.288854E-4
4.700000E-9	-2.226829E-4
4.750000E-9	-1.404615E-4
4.800000E-9	-1.027767E-4
4.850000E-9	-9.249903E-5
4.900000E-9	-8.907314E-5
4.950000E-9	-1.199062E-4
5.000000E-9	-1.815722E-4
5.050000E-9	-2.500900E-4
5.100000E-9	-3.151819E-4
5.150000E-9	-3.768479E-4
5.200000E-9	-4.419398E-4
5.250000E-9	-5.070317E-4
5.300000E-9	-5.515683E-4
5.350000E-9	-5.584201E-4
5.400000E-9	-5.447165E-4
5.450000E-9	-5.344389E-4
5.500000E-9	-5.378647E-4
5.550000E-9	-5.378647E-4
5.600000E-9	-5.173094E-4
5.650000E-9	-5.104576E-4
5.700000E-9	-5.412906E-4
5.750000E-9	-5.686978E-4
5.800000E-9	-5.858272E-4
5.850000E-9	-6.406414E-4
5.900000E-9	-7.125851E-4
5.950000E-9	-7.639735E-4
6.000000E-9	-7.948065E-4
6.050000E-9	-8.324913E-4
6.100000E-9	-8.598984E-4
6.150000E-9	-8.633243E-4
6.200000E-9	-8.598984E-4
6.250000E-9	-8.530466E-4
6.300000E-9	-8.324913E-4
