Study Name	V_single_crystal
Sample Name	2019-08-22
Run Name	5.0997452e-4C45degSpot05
Operator	Angus Wylie
Date	8/22/2019
Time	02:06
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	02:07:56
	
Time	Amplitude
0.000000E+0	-5.481440E-5
5.000000E-11	-8.736045E-5
1.000000E-10	-1.456008E-4
1.500000E-10	-1.935634E-4
2.000000E-10	-2.346742E-4
2.500000E-10	-2.843497E-4
3.000000E-10	-3.220346E-4
3.500000E-10	-3.305994E-4
4.000000E-10	-3.340253E-4
4.500000E-10	-3.254605E-4
5.000000E-10	-2.843497E-4
5.500000E-10	-2.278224E-4
6.000000E-10	-1.661562E-4
6.500000E-10	-1.010641E-4
7.000000E-10	-3.254605E-5
7.500000E-10	3.425900E-5
8.000000E-10	9.249930E-5
8.500000E-10	1.216195E-4
9.000000E-10	1.216195E-4
9.500000E-10	1.079159E-4
1.000000E-9	7.194390E-5
1.050000E-9	1.712950E-5
1.100000E-9	-4.282375E-5
1.150000E-9	-1.096288E-4
1.200000E-9	-1.832857E-4
1.250000E-9	-2.346742E-4
1.300000E-9	-2.774979E-4
1.350000E-9	-3.340253E-4
1.400000E-9	-3.802749E-4
1.450000E-9	-3.837008E-4
1.500000E-9	-3.665713E-4
1.550000E-9	-3.528677E-4
1.600000E-9	-3.168958E-4
1.650000E-9	-2.603684E-4
1.700000E-9	-2.141188E-4
1.750000E-9	-1.730080E-4
1.800000E-9	-1.353231E-4
1.850000E-9	-1.147677E-4
1.900000E-9	-1.113418E-4
1.950000E-9	-9.935110E-5
2.000000E-9	-8.050865E-5
2.050000E-9	-6.509210E-5
2.100000E-9	-5.138850E-5
2.150000E-9	-3.083310E-5
2.200000E-9	-1.199065E-5
2.250000E-9	-1.712950E-6
2.300000E-9	1.199065E-5
2.350000E-9	2.912015E-5
2.400000E-9	4.453670E-5
2.450000E-9	5.310145E-5
2.500000E-9	4.967555E-5
2.550000E-9	3.939785E-5
2.600000E-9	1.199065E-5
2.650000E-9	-2.398130E-5
2.700000E-9	-5.310145E-5
2.750000E-9	-7.365685E-5
2.800000E-9	-7.194390E-5
2.850000E-9	-5.824030E-5
2.900000E-9	-4.967555E-5
2.950000E-9	-4.624965E-5
3.000000E-9	-3.768490E-5
3.050000E-9	-1.884245E-5
3.100000E-9	3.425900E-6
3.150000E-9	1.199065E-5
3.200000E-9	-8.564750E-6
3.250000E-9	-3.768490E-5
3.300000E-9	-4.967555E-5
3.350000E-9	-7.194390E-5
3.400000E-9	-1.284713E-4
3.450000E-9	-1.747209E-4
3.500000E-9	-2.175447E-4
3.550000E-9	-2.792109E-4
3.600000E-9	-3.374512E-4
3.650000E-9	-3.699972E-4
3.700000E-9	-4.128210E-4
3.750000E-9	-4.573577E-4
3.800000E-9	-4.693483E-4
3.850000E-9	-4.642095E-4
3.900000E-9	-4.419411E-4
3.950000E-9	-3.768490E-4
4.000000E-9	-2.877756E-4
4.050000E-9	-1.918504E-4
4.100000E-9	-7.536980E-5
4.150000E-9	4.453670E-5
4.200000E-9	1.490267E-4
4.250000E-9	2.415260E-4
4.300000E-9	3.237476E-4
4.350000E-9	3.682843E-4
4.400000E-9	3.734231E-4
4.450000E-9	3.477289E-4
4.500000E-9	2.929145E-4
4.550000E-9	2.038411E-4
